様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
4F,演習室406,学校等,教室（大学）,24,4.4,2.7,4F,演習室406,OHU-4,OHU-4,
4F,演習室407,学校等,教室（大学）,25,4.4,2.7,4F,演習室407,OHU-4,OHU-4,
4F,演習室408,学校等,教室（大学）,25,4.4,2.7,4F,演習室408,OHU-4,OHU-4,
4F,演習室409,学校等,教室（大学）,25,4.4,2.7,4F,演習室409,OHU-4,OHU-4,
4F,演習室410,学校等,教室（大学）,25,4.4,2.7,4F,演習室410,OHU-4,OHU-4,
4F,演習室411,学校等,教室（大学）,25,4.4,2.7,4F,演習室411,OHU-4,OHU-4,
4F,演習室412,学校等,教室（大学）,25,4.4,2.7,4F,演習室412,OHU-4,OHU-4,
4F,演習室413,学校等,教室（大学）,23,4.4,2.7,4F,演習室413,OHU-4,OHU-4,
4F,演習室414,学校等,教室（大学）,26,4.4,2.7,4F,演習室414,OHU-4,OHU-4,
4F,ラウンジ4,学校等,教室（大学）,29.8,4.4,2.7,4F,ラウンジ4,OHU-4,OHU-4,
4F,演習室415,学校等,教室（大学）,25,4.4,2.7,4F,演習室415,OHU-4,OHU-4,
4F,演習室416,学校等,教室（大学）,50,4.4,2.7,4F,演習室416,OHU-4,OHU-4,
4F,演習室417,学校等,教室（大学）,50,4.4,2.7,4F,演習室417,OHU-4,OHU-4,
4F,ディスカッションコーナー1,学校等,教室（大学）,65.3,4.4,2.7,4F,ディスカッションコーナー1,OHU-4,OHU-4,
4F,非EVロビー兼用付室,学校等,教室（大学）,25,4.4,2.7,4F,非EVロビー兼用付室,ACP-EV1a,ACP-EV1a,
4F,EVホール,学校等,教室（大学）,19,4.4,2.7,4F,EVホール,OHU-4,OHU-4,
5F,大学院長室,学校等,事務室,25,4.4,2.7,5F,大学院長室,OHU-5,OHU-5,
5F,大学院役職者室,学校等,事務室,25,4.4,2.7,5F,大学院役職者室,OHU-5,OHU-5,
5F,大学院事務室,学校等,事務室,190,4.4,2.7,5F,大学院事務室,OHU-5,OHU-5,
5F,作業室,学校等,事務室,17,4.4,2.7,5F,作業室,OHU-5,OHU-5,
