様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1407,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1408,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1409,学校等,研究室,25,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
14F,院生用共同研究室1410,学校等,研究室,22,,有,EHW-1-14a,,,,
,,,,,,有,EHW-1-14b,,,,
,,,,,,有,EHW-2-14a,,,,
15F,院生共同研究室1501,学校等,研究室,88,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1502,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,大学院共同研究室1503,学校等,研究室,50,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1504,学校等,研究室,51,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1505,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1506,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1507,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1508,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1509,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1510,学校等,研究室,25,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
15F,院生用共同研究室1511,学校等,研究室,22,,有,EHW-1-15a,,,,
,,,,,,有,EHW-1-15b,,,,
,,,,,,有,EHW-2-15a,,,,
16F,研究室1601,学校等,研究室,88,,有,EHW-1-16a,,,,
,,,,,,有,EHW-1-16b,,,,
,,,,,,有,EHW-2-16a,,,,
16F,研究室1602,学校等,研究室,77.1,,有,EHW-1-16a,,,,
,,,,,,有,EHW-1-16b,,,,
,,,,,,有,EHW-2-16a,,,,
16F,研究室1603,学校等,研究室,77.1,,有,EHW-1-16a,,,,
,,,,,,有,EHW-1-16b,,,,
,,,,,,有,EHW-2-16a,,,,
16F,研究室1604,学校等,研究室,77.1,,有,EHW-1-16a,,,,
,,,,,,有,EHW-1-16b,,,,
,,,,,,有,EHW-2-16a,,,,
16F,研究室1605,学校等,研究室,77.1,,有,EHW-1-16a,,,,
,,,,,,有,EHW-1-16b,,,,
,,,,,,有,EHW-2-16a,,,,
17F,会議室1701,学校等,事務室,97,,有,EHW-1-17a,,,,
,,,,,,有,EHW-1-17b,,,,
,,,,,,有,EHW-2-17a,,,,
17F,国際交流ラウンジ,学校等,事務室,143,,有,EHW-1-17a,,,,
,,,,,,有,EHW-1-17b,,,,
,,,,,,有,EHW-2-17a,,,,
,,,,,,有,EHW-4-17a,,,,
17F,会議室兼プレゼンテーションルーム,学校等,事務室,59,,有,EHW-1-17a,,,,
,,,,,,有,EHW-1-17b,,,,
,,,,,,有,EHW-2-17a,,,,
17F,応接室,学校等,事務室,30,,有,EHW-1-17a,,,,
,,,,,,有,EHW-1-17b,,,,
,,,,,,有,EHW-2-17a,,,,
17F,ラウンジ7,学校等,教室（大学）,15,,有,EHW-1-17a,,,,
,,,,,,有,EHW-1-17b,,,,
,,,,,,有,EHW-2-17a,,,,
