様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
3F,倉庫3,学校等,湯沸室等,19,4.4,2.7,,■,■,,
3F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.4,2.7,,■,■,,
3F,給湯2,学校等,湯沸室等,4,4.4,2.7,,■,■,,
3F,倉庫4,学校等,湯沸室等,12,4.4,2.7,,■,■,,
3F,学生用コピー室,学校等,コピー室等,7,4.4,2.7,,■,■,,
3F,非EVロビー兼用付室,学校等,大学教室,25,4.4,2.7,■,,■,,
3F,ラウンジ3,学校等,大学教室,40.6,4.4,2.7,■,,■,,
3F,男WC3,学校等,便所,21,4.4,2.4,,■,■,,
3F,女WC3,学校等,便所,17,4.4,2.4,,■,■,,
3F,多目的WC3,学校等,便所,6,4.4,2.4,,■,■,,
3F,男WC5,学校等,便所,6,4.4,2.4,,■,■,,
3F,女WC5,学校等,便所,4,4.4,2.4,,■,■,,
3F,メディアライブラリー,学校等,大学教室,335,4.4,2.7,■,,■,■,
3F,サーバー室,学校等,電気室,27,4.4,2.7,,■,■,,
4F,演習室401,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室402,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室403,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室404,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室405,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室406,学校等,大学教室,24,4.4,2.7,■,,■,■,
4F,演習室407,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室408,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室409,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室410,学校等,大学教室,25,4.4,2.7,■,,■,■,
