様式 3-1. (換気)換気対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
①,①,①,①,①,②,③,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称,,,,
,,,,,,,,,,
,,,,[㎡],(給気/排気/循環/空調),,,,,
(転記),(転記),(転記),(転記),(転記),(選択),(転記),,,,
,,,,,,,,,,
6F,EVMR1,学校等,電気・機械室（標準）,31.0 ,給気,FS-6-M-3,,,,
,,,,,排気,FE-6-M-3,,,,
,,,,,冷房,PAC-6-M-3,,,,
6F,男WC4,学校等,トイレ,17.0 ,排気,FE-6-W-1,,,,
6F,女WC4,学校等,トイレ,22.0 ,排気,FE-6-W-2,,,,
7F,サーバー室,学校等,電気・機械室（高発熱）,24.0 ,給気,FS-7-S-1,,,,
,,,,,排気,FE-7-S-1,,,,
,,,,,冷房,SAC-7-1,,,,
7F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-7-T-1-1,,,,
7F,ゴミコーナー,学校等,厨芥置き場等,1.8 ,排気,FE-7-T-1-2,,,,
7F,男WC4,学校等,トイレ,18.0 ,排気,FE-7-W-1,,,,
7F,女WC4,学校等,トイレ,22.0 ,排気,FE-7-W-2,,,,
8F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-8-T-1-1,,,,
8F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-8-T-1-2,,,,
8F,男WC4,学校等,トイレ,18.0 ,排気,FE-8-W-1,,,,
8F,女WC4,学校等,トイレ,22.0 ,排気,FE-8-W-2,,,,
9F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-9-T-1-1,,,,
9F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-9-T-1-2,,,,
9F,男WC4,学校等,トイレ,18.0 ,排気,FE-9-W-1,,,,
9F,女WC4,学校等,トイレ,22.0 ,排気,FE-9-W-2,,,,
10F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-10-T-1-1,,,,
10F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-10-T-1-2,,,,
10F,男WC4,学校等,トイレ,18.0 ,排気,FE-10-W-1,,,,
10F,女WC4,学校等,トイレ,22.0 ,排気,FE-10-W-2,,,,
11F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-11-T-1-1,,,,
11F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-11-T-1-2,,,,
11F,男WC4,学校等,トイレ,18.0 ,排気,FE-11-W-1,,,,
11F,女WC4,学校等,トイレ,22.0 ,排気,FE-11-W-2,,,,
12F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-12-T-1-1,,,,
12F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-12-T-1-2,,,,
12F,男WC4,学校等,トイレ,18.0 ,排気,FE-12-W-1,,,,
12F,女WC4,学校等,トイレ,22.0 ,排気,FE-12-W-2,,,,
13F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-13-T-1-1,,,,
13F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-13-T-1-2,,,,
13F,男WC4,学校等,トイレ,18.0 ,排気,FE-13-W-1,,,,
13F,女WC4,学校等,トイレ,22.0 ,排気,FE-13-W-2,,,,
14F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-14-T-1-1,,,,
