様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
4F,EVホール,南,,,ＯＷ1,34.3,WNDW1,34.3,有
,,日陰,,,ＯＷ1,16.3,WNDW1,10,有
5F,大学院長室,西,,,ＯＷ1,14.1,WNDW1,6.8,有
5F,大学院役職者室,西,,,ＯＷ1,14.1,WNDW1,6.8,有
5F,大学院事務室,西,,,ＯＷ1,56.3,WNDW1,27.2,有
,,東,,,ＯＷ1,112.6,WNDW1,54.4,有
5F,作業室,,,,,,,,
5F,講師控室,東,,,ＯＷ1,14.1,WNDW1,7.1,有
,,東,,,ＯＷ1,28.6,WNDW2,14.3,有
,,南,,,ＯＷ1,35.2,WNDW2,17.6,有
5F,会議室501,北,,,ＯＷ1,35.2,WNDW1,17.6,有
,,東,,,ＯＷ1,58.5,,,
,,南,,,ＯＷ1,35.2,WNDW1,18.9,有
,,西,,,ＯＷ1,13.2,WNDW1,8.1,有
,,水平,,,OＲ1,101,,,
5F,会議室502,北,,,ＯＷ1,25.5,,,
,,水平,,,OＲ1,24,,,
5F,共用応接室,南,,,ＯＷ1,26.4,WNDW1,13.5,有
,,水平,,,OＲ1,22,,,
5F,ラウンジ5,西,,,ＯＷ1,12.3,WNDW1,7.6,有
,,南,,,ＯＷ1,26.4,WNDW2,13.2,有
5F,ラウンジ5流し,,,,,,,,
5F,非EVロビー兼用付室,西,,,ＯＷ1,12.3,WNDW3,4.3,有
5F,EVホール,南,,,ＯＷ1,34.3,WNDW1,34.3,有
,,日陰,,,ＯＷ1,16.3,WNDW1,10,有
,,水平,,,OＲ1,18,,,
6F,会議室601,西,,,ＯＷ1,14.1,WNDW1,7.1,有
6F,会議室602,西,,,ＯＷ1,14.1,WNDW1,7.1,有
6F,研究知財倉庫,西,,,ＯＷ1,28.2,WNDW1,14.1,有
6F,男子更衣室,,,,,,,,
6F,女子更衣室,,,,,,,,
6F,台車置場,西,,,ＯＷ1,28.2,WNDW1,13.6,有
6F,作業室,,,,,,,,
6F,研究知財事務室,東,,,ＯＷ1,84.5,WNDW1,42.3,有
,,水平,,,OＲ1,57.6,,,
6F,応接ブース,,,,,,,,
6F,会議ブース,東,,,ＯＷ1,14.1,WNDW1,7.1,有
,,水平,,,OＲ1,9.6,,,
6F,研究知財役職室,東,,,ＯＷ1,28.6,WNDW2,14.3,有
,,南,,,ＯＷ1,35.2,WNDW2,17.6,有
6F,ラウンジ6,西,,,ＯＷ1,12.3,WNDW1,7.6,有
,,南,,,ＯＷ1,26.4,WNDW2,13.2,有
6F,ラウンジ6流し,,,,,,,,
6F,非EVロビー兼用付室,西,,,ＯＷ1,12.3,WNDW3,4.3,有
7F,リエゾンラボラトリー701,西,,,ＯＷ1,26.8,WNDW1,13.4,有
7F,リエゾンラボラトリー702,西,,,ＯＷ1,13.4,WNDW1,6.7,有
