検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,室用途詳細,カレンダーパターンコード,WSCパターン,照明発熱参照値,人体発熱参照値,機器発熱参照値,作業強度指数,外気導入量,パターン1空調開始時刻1,パターン1空調終了時刻1,パターン1空調開始時刻2,パターン1空調終了時刻2,パターン2空調開始時刻1,パターン2空調終了時刻1,パターン2空調開始時刻2,パターン2空調終了時刻2
6月8日,6,8,飲食店等,厨房,厨房,1,WSC2,25,0.1,50,3,110,10,23,,,10,23,,
6月9日,6,9,飲食店等,倉庫,倉庫,1,WSC2,10,0.1,0,3,4,10,23,,,10,23,,
7月1日,7,1,集会所等,アスレ等,アスレチック、トレーニング室,5,WSC1,25,0.3,5,5,7.5,10,23,,,10,23,,
7月2日,7,2,集会所等,ボーリング,ボーリング遊戯室,1,WSC2,25,0.1,5,5,2.5,9,24,,,9,24,,
7月3日,7,3,集会所等,体育館,体育館アリーナ,4,WSC1,60,0.1,0,5,8,8,21,,,8,21,,
7月4日,7,4,集会所等,屋内プール,屋内プール,4,WSC1,60,0.1,0,5,12.5,8,21,,,8,21,,
7月5日,7,5,集会所等,応援席等,体育館等応援席、観客席,4,WSC1,20,0.4,0,5,10,8,21,,,8,21,,
7月6日,7,6,集会所等,社寺本殿,社寺本殿、礼拝堂,6,WSC1,10,1,0,5,25,7,18,,,7,18,,
7月7日,7,7,集会所等,劇場等,劇場、公会堂,6,WSC1,50,1,0,5,25,10,20,,,10,20,,
7月8日,7,8,集会所等,楽屋等,楽屋、休憩室等、スタジオ、リハーサル室,6,WSC1,25,0.2,0,5,5,9,20,,,9,20,,
7月9日,7,9,集会所等,映画館,映画館観客室,1,WSC2,0,1,0,5,25,8,24,,,8,24,,
7月10日,7,10,集会所等,パチンコ,パチンコホール、ゲームセンター,1,WSC2,60,0.5,100,5,25,9,23,,,9,23,,
7月11日,7,11,集会所等,カラオケ,カラオケ室、麻雀室等ゲーム室,1,WSC2,10,0.4,5,5,10,0,4,10,24,0,4,10,24
7月12日,7,12,集会所等,ネカフェ,インターネットカフェ等,1,WSC2,15,0.4,5,5,10,0,24,,,0,24,,
7月13日,7,13,集会所等,脱衣室,スパの脱衣室、ロッカールーム,1,WSC2,10,0.2,0,3,5,8,23,,,8,23,,
7月14日,7,14,集会所等,競馬競輪場,競馬競輪場等、場外馬車券等売場の屋内観客室,4,WSC1,20,0.4,12,5,10,9,18,,,9,18,,
7月15日,7,15,集会所等,劇場ロビー,劇場、公会堂のロビー、ホール、ホワイエ,6,WSC1,15,0.2,0,3,5,10,20,,,10,20,,
7月16日,7,16,集会所等,アスレロビー,アスレチック、トレーニング施設のロビー、ホール、ホワイエ,5,WSC1,15,0.1,0,3,2.5,9,23,,,9,23,,
7月17日,7,17,集会所等,体育ロビー,体育館、屋内プールのロビー、ホール、ホワイエ,4,WSC1,15,0.1,0,3,2.5,8,21,,,8,21,,
7月18日,7,18,集会所等,競馬ロビー,競馬競輪場、場外馬車券等の売場のロビー、ホール、ホワイエ,4,WSC1,15,0.1,0,3,2.5,9,18,,,9,18,,
7月19日,7,19,集会所等,映画ロビー,映画館のロビー、ホール、ホワイエ,1,WSC2,15,0.1,0,3,2.5,8,24,,,8,24,,
