記号,説明,樹脂,,,,複合,,,,アルミ,,,,ガラス,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3WgA12,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層12mm）,1.8,1.6,0.39,0.3,2.1,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1.1,1,0.54,0.41
3WgA13,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層13mm）,1.7,1.6,0.39,0.3,2,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1,1,0.54,0.41
3WgA14,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層14mm）,1.7,1.6,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.99,0.95,0.54,0.41
3WgA15,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層15mm）,1.7,1.5,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.95,0.91,0.54,0.41
3WgA16,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層16mm）,1.6,1.5,0.39,0.3,1.9,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.92,0.88,0.54,0.41
3WsA06,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層6mm）,2.2,2,0.24,0.19,2.5,2.3,0.26,0.21,2.9,2.6,0.26,0.21,1.7,1.6,0.33,0.26
3WsA07,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層7mm）,2.1,1.9,0.24,0.19,2.4,2.2,0.26,0.21,2.8,2.5,0.26,0.21,1.5,1.5,0.33,0.26
3WsA08,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層8mm）,2,1.8,0.24,0.19,2.3,2.1,0.26,0.21,2.7,2.4,0.26,0.21,1.4,1.3,0.33,0.26
3WsA09,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層9mm）,1.9,1.8,0.24,0.19,2.2,2.1,0.26,0.21,2.6,2.4,0.26,0.21,1.3,1.2,0.33,0.26
3WsA10,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層10mm）,1.9,1.7,0.24,0.19,2.2,2,0.26,0.21,2.5,2.3,0.26,0.21,1.2,1.2,0.33,0.26
3WsA11,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層11mm）,1.8,1.7,0.24,0.19,2.1,1.9,0.26,0.21,2.5,2.2,0.26,0.21,1.2,1.1,0.33,0.26
3WsA12,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層12mm）,1.8,1.6,0.24,0.19,2.1,1.9,0.26,0.21,2.4,2.2,0.26,0.21,1.1,1,0.33,0.26
3WsA13,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層13mm）,1.7,1.6,0.24,0.19,2,1.9,0.26,0.21,2.4,2.2,0.26,0.21,1,1,0.33,0.26
3WsA14,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層14mm）,1.7,1.6,0.24,0.19,2,1.8,0.26,0.21,2.3,2.1,0.26,0.21,0.99,0.95,0.33,0.26
