記号,説明,樹脂,,,,複合,,,,アルミ,,,,ガラス,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
2LgA08,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層8mm）,2.5,2.4,0.46,0.34,3,2.7,0.51,0.38,3.4,3,0.51,0.38,2.3,2.1,0.64,0.47
2LgA09,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層9mm）,2.5,2.3,0.46,0.34,2.9,2.6,0.51,0.38,3.3,3,0.51,0.38,2.1,2,0.64,0.47
2LgA10,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層10mm）,2.4,2.2,0.46,0.34,2.8,2.6,0.51,0.38,3.2,2.9,0.51,0.38,2,1.9,0.64,0.47
2LgA11,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層11mm）,2.3,2.1,0.46,0.34,2.7,2.5,0.51,0.38,3.1,2.8,0.51,0.38,1.9,1.8,0.64,0.47
2LgA12,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層12mm）,2.3,2.1,0.46,0.34,2.7,2.4,0.51,0.38,3,2.7,0.51,0.38,1.8,1.7,0.64,0.47
2LgA13,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層13mm）,2.2,2.1,0.46,0.34,2.6,2.4,0.51,0.38,3,2.7,0.51,0.38,1.8,1.7,0.64,0.47
2LgA14,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層14mm）,2.2,2,0.46,0.34,2.5,2.3,0.51,0.38,2.9,2.6,0.51,0.38,1.7,1.6,0.64,0.47
2LgA15,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層15mm）,2.1,2,0.46,0.34,2.5,2.3,0.51,0.38,2.9,2.6,0.51,0.38,1.6,1.6,0.64,0.47
2LgA16,二層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層16mm）,2.1,2,0.46,0.34,2.5,2.3,0.51,0.38,2.8,2.6,0.51,0.38,1.6,1.5,0.64,0.47
2LsA06,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層6mm）,2.8,2.6,0.29,0.22,3.3,3,0.32,0.25,3.7,3.3,0.32,0.25,2.6,2.4,0.4,0.31
2LsA07,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層7mm）,2.7,2.5,0.29,0.22,3.1,2.8,0.32,0.25,3.5,3.2,0.32,0.25,2.4,2.3,0.4,0.31
2LsA08,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層8mm）,2.5,2.4,0.29,0.22,3,2.7,0.32,0.25,3.4,3,0.32,0.25,2.3,2.1,0.4,0.31
2LsA09,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層9mm）,2.5,2.3,0.29,0.22,2.9,2.6,0.32,0.25,3.3,3,0.32,0.25,2.1,2,0.4,0.31
2LsA10,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層10mm）,2.4,2.2,0.29,0.22,2.8,2.6,0.32,0.25,3.2,2.9,0.32,0.25,2,1.9,0.4,0.31
2LsA11,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層11mm）,2.3,2.1,0.29,0.22,2.7,2.5,0.32,0.25,3.1,2.8,0.32,0.25,1.9,1.8,0.4,0.31
2LsA12,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層12mm）,2.3,2.1,0.29,0.22,2.7,2.4,0.32,0.25,3,2.7,0.32,0.25,1.8,1.7,0.4,0.31
2LsA13,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層13mm）,2.2,2.1,0.29,0.22,2.6,2.4,0.32,0.25,3,2.7,0.32,0.25,1.8,1.7,0.4,0.31
2LsA14,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層14mm）,2.2,2,0.29,0.22,2.5,2.3,0.32,0.25,2.9,2.6,0.32,0.25,1.7,1.6,0.4,0.31
2LsA15,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層15mm）,2.1,2,0.29,0.22,2.5,2.3,0.32,0.25,2.9,2.6,0.32,0.25,1.6,1.6,0.4,0.31
2LsA16,二層ガラス（Lowε1枚、乾燥空気、日射遮蔽型、空気層16mm）,2.1,2,0.29,0.22,2.5,2.3,0.32,0.25,2.8,2.6,0.32,0.25,1.6,1.5,0.4,0.31
2FA06,二層ガラス（Lowεなし、空気層6mm）,3.2,2.9,0.57,0.41,3.8,3.4,0.63,0.46,4.1,3.7,0.63,0.46,3.3,3,0.79,0.57
2FA07,二層ガラス（Lowεなし、空気層7mm）,3.1,2.8,0.57,0.41,3.7,3.3,0.63,0.46,4,3.6,0.63,0.46,3.2,2.9,0.79,0.57
2FA08,二層ガラス（Lowεなし、空気層8mm）,3,2.8,0.57,0.41,3.6,3.3,0.63,0.46,4,3.5,0.63,0.46,3.1,2.9,0.79,0.57
2FA09,二層ガラス（Lowεなし、空気層9mm）,3,2.8,0.57,0.41,3.5,3.2,0.63,0.46,3.9,3.5,0.63,0.46,3.1,2.8,0.79,0.57
2FA10,二層ガラス（Lowεなし、空気層10mm）,3,2.7,0.57,0.41,3.5,3.2,0.63,0.46,3.8,3.4,0.63,0.46,3,2.8,0.79,0.57
2FA11,二層ガラス（Lowεなし、空気層11mm）,2.9,2.7,0.57,0.41,3.4,3.1,0.63,0.46,3.8,3.4,0.63,0.46,2.9,2.7,0.79,0.57
2FA12,二層ガラス（Lowεなし、空気層12mm）,2.9,2.7,0.57,0.41,3.4,3.1,0.63,0.46,3.8,3.4,0.63,0.46,2.9,2.7,0.79,0.57
2FA13,二層ガラス（Lowεなし、空気層13mm）,2.9,2.6,0.57,0.41,3.4,3.1,0.63,0.46,3.7,3.4,0.63,0.46,2.8,2.6,0.79,0.57
2FA14,二層ガラス（Lowεなし、空気層14mm）,2.8,2.6,0.57,0.41,3.3,3,0.63,0.46,3.7,3.3,0.63,0.46,2.8,2.6,0.79,0.57
2FA15,二層ガラス（Lowεなし、空気層15mm）,2.8,2.6,0.57,0.41,3.3,3,0.63,0.46,3.7,3.3,0.63,0.46,2.8,2.6,0.79,0.57
2FA16,二層ガラス（Lowεなし、空気層16mm）,2.8,2.6,0.57,0.41,3.3,3,0.63,0.46,3.6,3.3,0.63,0.46,2.8,2.5,0.79,0.57
T,単板ガラス,4.7,4.2,0.57,0.41,5.5,4.8,0.7,0.5,6.1,5.3,0.7,0.5,6,5.2,0.88,0.62
