ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
615,複層（アルゴン層6mm）,Low-E（高日射取得型）+透明,10,2.19,1.87,0.584,0.402,0.436,0.467
616,複層（アルゴン層6mm）,Low-E（高日射取得型）+透明,12,2.17,1.85,0.561,0.394,0.424,0.452
651,複層（アルゴン層6mm）,透明+Low-E（日射取得型）,6,2.14,1.83,0.609,0.431,0.464,0.494
652,複層（アルゴン層6mm）,透明+Low-E（日射取得型）,8,2.12,1.81,0.582,0.418,0.447,0.474
653,複層（アルゴン層6mm）,透明+Low-E（日射取得型）,10,2.1,1.8,0.555,0.404,0.43,0.454
654,複層（アルゴン層6mm）,透明+Low-E（日射取得型）,12,2.09,1.79,0.532,0.39,0.414,0.436
655,複層（アルゴン層6mm）,透明+Low-E（高日射取得型）,6,2.23,1.9,0.69,0.474,0.514,0.551
656,複層（アルゴン層6mm）,透明+Low-E（高日射取得型）,8,2.21,1.88,0.658,0.459,0.495,0.529
657,複層（アルゴン層6mm）,透明+Low-E（高日射取得型）,10,2.19,1.87,0.626,0.444,0.476,0.506
658,複層（アルゴン層6mm）,透明+Low-E（高日射取得型）,12,2.17,1.85,0.598,0.43,0.459,0.485
703,複層（アルゴン層12mm）,透明+透明,6,2.68,2.26,0.731,0.458,0.511,0.56
704,複層（アルゴン層12mm）,透明+透明,8,2.65,2.24,0.696,0.446,0.493,0.536
705,複層（アルゴン層12mm）,透明+透明,10,2.62,2.22,0.659,0.433,0.474,0.512
706,複層（アルゴン層12mm）,透明+透明,12,2.6,2.2,0.627,0.421,0.457,0.49
723,複層（アルゴン層12mm）,高透過+高透過,6,2.68,2.26,0.828,0.484,0.556,0.622
724,複層（アルゴン層12mm）,高透過+高透過,8,2.65,2.24,0.821,0.482,0.553,0.617
725,複層（アルゴン層12mm）,高透過+高透過,10,2.62,2.22,0.814,0.481,0.55,0.613
726,複層（アルゴン層12mm）,高透過+高透過,12,2.6,2.2,0.809,0.479,0.547,0.61
731,複層（アルゴン層12mm）,熱吸グリーン+透明,6,2.68,2.26,0.47,0.307,0.334,0.36
732,複層（アルゴン層12mm）,熱吸グリーン+透明,8,2.65,2.24,0.41,0.276,0.298,0.317
733,複層（アルゴン層12mm）,熱吸グリーン+透明,10,2.62,2.22,0.364,0.253,0.27,0.285
734,複層（アルゴン層12mm）,熱吸グリーン+透明,12,2.6,2.2,0.329,0.234,0.248,0.26
741,複層（アルゴン層12mm）,熱反シルバー+透明,6,2.68,2.26,0.614,0.405,0.444,0.481
742,複層（アルゴン層12mm）,熱反シルバー+透明,8,2.65,2.24,0.587,0.394,0.43,0.462
743,複層（アルゴン層12mm）,熱反シルバー+透明,10,2.62,2.22,0.56,0.383,0.415,0.443
744,複層（アルゴン層12mm）,熱反シルバー+透明,12,2.6,2.2,0.536,0.373,0.4,0.426
751,複層（アルゴン層12mm）,可視光透過率40%+透明,6,2.58,2.19,0.38,0.265,0.284,0.302
752,複層（アルゴン層12mm）,可視光透過率40%+透明,8,2.55,2.17,0.366,0.26,0.277,0.292
753,複層（アルゴン層12mm）,可視光透過率40%+透明,10,2.53,2.15,0.354,0.255,0.27,0.284
754,複層（アルゴン層12mm）,可視光透過率40%+透明,12,2.5,2.13,0.343,0.25,0.263,0.276
755,複層（アルゴン層12mm）,可視光透過率30%+透明,6,2.48,2.12,0.286,0.208,0.22,0.231
756,複層（アルゴン層12mm）,可視光透過率30%+透明,8,2.46,2.1,0.278,0.205,0.216,0.226
757,複層（アルゴン層12mm）,可視光透過率30%+透明,10,2.44,2.08,0.27,0.202,0.212,0.22
758,複層（アルゴン層12mm）,可視光透過率30%+透明,12,2.41,2.06,0.263,0.199,0.207,0.215
759,複層（アルゴン層12mm）,可視光透過率20%+透明,6,2.33,2,0.215,0.164,0.172,0.179
760,複層（アルゴン層12mm）,可視光透過率20%+透明,8,2.31,1.98,0.211,0.162,0.169,0.176
761,複層（アルゴン層12mm）,可視光透過率20%+透明,10,2.28,1.97,0.206,0.16,0.166,0.172
762,複層（アルゴン層12mm）,可視光透過率20%+透明,12,2.26,1.95,0.202,0.158,0.164,0.169
763,複層（アルゴン層12mm）,可視光透過率8%+透明,6,2.1,1.82,0.128,0.103,0.106,0.109
764,複層（アルゴン層12mm）,可視光透過率8%+透明,8,2.08,1.81,0.127,0.103,0.106,0.109
765,複層（アルゴン層12mm）,可視光透過率8%+透明,10,2.07,1.8,0.126,0.103,0.106,0.108
766,複層（アルゴン層12mm）,可視光透過率8%+透明,12,2.05,1.78,0.125,0.104,0.106,0.108
781,複層（アルゴン層12mm）,セラミック印刷(白面積30%）+透明,6,2.68,2.26,0.59,0.39,0.427,0.461
782,複層（アルゴン層12mm）,セラミック印刷(白面積30%）+透明,8,2.65,2.24,0.566,0.381,0.414,0.444
783,複層（アルゴン層12mm）,セラミック印刷(白面積30%）+透明,10,2.62,2.22,0.542,0.371,0.4,0.427
784,複層（アルゴン層12mm）,セラミック印刷(白面積30%）+透明,12,2.6,2.2,0.521,0.362,0.389,0.413
785,複層（アルゴン層12mm）,セラミック印刷(白面積50%）+透明,6,2.68,2.26,0.493,0.338,0.365,0.39
786,複層（アルゴン層12mm）,セラミック印刷(白面積50%）+透明,8,2.65,2.24,0.474,0.329,0.354,0.376
787,複層（アルゴン層12mm）,セラミック印刷(白面積50%）+透明,10,2.62,2.22,0.455,0.321,0.343,0.363
788,複層（アルゴン層12mm）,セラミック印刷(白面積50%）+透明,12,2.6,2.2,0.438,0.314,0.333,0.351
789,複層（アルゴン層12mm）,セラミック印刷(白面積70%）+透明,6,2.68,2.26,0.394,0.281,0.299,0.316
790,複層（アルゴン層12mm）,セラミック印刷(白面積70%）+透明,8,2.65,2.24,0.38,0.274,0.291,0.306
791,複層（アルゴン層12mm）,セラミック印刷(白面積70%）+透明,10,2.62,2.22,0.366,0.268,0.282,0.296
792,複層（アルゴン層12mm）,セラミック印刷(白面積70%）+透明,12,2.6,2.2,0.354,0.262,0.275,0.287
793,複層（アルゴン層12mm）,セラミック印刷(白面積100%）+透明,6,2.68,2.26,0.243,0.185,0.193,0.2
794,複層（アルゴン層12mm）,セラミック印刷(白面積100%）+透明,8,2.65,2.24,0.237,0.182,0.189,0.196
795,複層（アルゴン層12mm）,セラミック印刷(白面積100%）+透明,10,2.62,2.22,0.232,0.179,0.185,0.191
796,複層（アルゴン層12mm）,セラミック印刷(白面積100%）+透明,12,2.6,2.2,0.227,0.177,0.183,0.188
801,複層（アルゴン層12mm）,Low-E（高日射遮蔽型）+透明,6,1.3,1.16,0.298,0.235,0.248,0.259
802,複層（アルゴン層12mm）,Low-E（高日射遮蔽型）+透明,8,1.29,1.15,0.295,0.236,0.247,0.257
803,複層（アルゴン層12mm）,Low-E（高日射遮蔽型）+透明,10,1.29,1.15,0.291,0.235,0.245,0.254
804,複層（アルゴン層12mm）,Low-E（高日射遮蔽型）+透明,12,1.28,1.14,0.286,0.234,0.243,0.251
805,複層（アルゴン層12mm）,Low-E（日射遮蔽型）+透明,6,1.37,1.22,0.404,0.303,0.325,0.344
806,複層（アルゴン層12mm）,Low-E（日射遮蔽型）+透明,8,1.36,1.21,0.398,0.304,0.323,0.34
807,複層（アルゴン層12mm）,Low-E（日射遮蔽型）+透明,10,1.35,1.21,0.39,0.302,0.32,0.335
808,複層（アルゴン層12mm）,Low-E（日射遮蔽型）+透明,12,1.35,1.2,0.378,0.297,0.313,0.326
809,複層（アルゴン層12mm）,Low-E（日射取得型）+透明,6,1.47,1.3,0.561,0.396,0.432,0.465
810,複層（アルゴン層12mm）,Low-E（日射取得型）+透明,8,1.46,1.3,0.543,0.391,0.424,0.453
811,複層（アルゴン層12mm）,Low-E（日射取得型）+透明,10,1.45,1.29,0.524,0.386,0.414,0.44
812,複層（アルゴン層12mm）,Low-E（日射取得型）+透明,12,1.44,1.28,0.506,0.38,0.405,0.428
813,複層（アルゴン層12mm）,Low-E（高日射取得型）+透明,6,1.59,1.41,0.635,0.429,0.475,0.516
814,複層（アルゴン層12mm）,Low-E（高日射取得型）+透明,8,1.58,1.4,0.609,0.423,0.463,0.499
815,複層（アルゴン層12mm）,Low-E（高日射取得型）+透明,10,1.57,1.39,0.585,0.416,0.451,0.483
816,複層（アルゴン層12mm）,Low-E（高日射取得型）+透明,12,1.56,1.38,0.563,0.409,0.44,0.468
851,複層（アルゴン層12mm）,透明+Low-E（日射取得型）,6,1.47,1.3,0.617,0.455,0.488,0.518
852,複層（アルゴン層12mm）,透明+Low-E（日射取得型）,8,1.46,1.3,0.59,0.44,0.47,0.497
853,複層（アルゴン層12mm）,透明+Low-E（日射取得型）,10,1.45,1.29,0.562,0.425,0.452,0.476
854,複層（アルゴン層12mm）,透明+Low-E（日射取得型）,12,1.44,1.28,0.537,0.411,0.435,0.457
855,複層（アルゴン層12mm）,透明+Low-E（高日射取得型）,6,1.59,1.41,0.7,0.499,0.541,0.578
856,複層（アルゴン層12mm）,透明+Low-E（高日射取得型）,8,1.58,1.4,0.668,0.485,0.521,0.555
857,複層（アルゴン層12mm）,透明+Low-E（高日射取得型）,10,1.57,1.39,0.636,0.469,0.501,0.531
858,複層（アルゴン層12mm）,透明+Low-E（高日射取得型）,12,1.56,1.38,0.607,0.454,0.483,0.509
