ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
152,複層（空気層6mm）,可視光透過率40%+透明,8,3.16,2.6,0.38,0.264,0.281,0.296
153,複層（空気層6mm）,可視光透過率40%+透明,10,3.12,2.58,0.367,0.258,0.273,0.287
154,複層（空気層6mm）,可視光透過率40%+透明,12,3.08,2.55,0.356,0.253,0.267,0.279
155,複層（空気層6mm）,可視光透過率30%+透明,6,3.14,2.59,0.302,0.216,0.228,0.239
156,複層（空気層6mm）,可視光透過率30%+透明,8,3.1,2.56,0.294,0.213,0.223,0.233
157,複層（空気層6mm）,可視光透過率30%+透明,10,3.07,2.54,0.287,0.209,0.219,0.228
158,複層（空気層6mm）,可視光透過率30%+透明,12,3.03,2.51,0.279,0.206,0.215,0.223
159,複層（空気層6mm）,可視光透過率20%+透明,6,3.05,2.52,0.236,0.176,0.183,0.19
160,複層（空気層6mm）,可視光透過率20%+透明,8,3.01,2.5,0.231,0.174,0.181,0.187
161,複層（空気層6mm）,可視光透過率20%+透明,10,2.97,2.47,0.226,0.172,0.178,0.183
162,複層（空気層6mm）,可視光透過率20%+透明,12,2.94,2.45,0.222,0.17,0.176,0.181
163,複層（空気層6mm）,可視光透過率8%+透明,6,2.91,2.43,0.15,0.118,0.121,0.124
164,複層（空気層6mm）,可視光透過率8%+透明,8,2.88,2.41,0.15,0.119,0.122,0.125
165,複層（空気層6mm）,可視光透過率8%+透明,10,2.84,2.38,0.15,0.12,0.122,0.124
166,複層（空気層6mm）,可視光透過率8%+透明,12,2.81,2.36,0.15,0.12,0.123,0.125
181,複層（空気層6mm）,セラミック印刷(白面積30%）+透明,6,3.27,2.67,0.592,0.381,0.417,0.45
182,複層（空気層6mm）,セラミック印刷(白面積30%）+透明,8,3.22,2.64,0.567,0.371,0.403,0.432
183,複層（空気層6mm）,セラミック印刷(白面積30%）+透明,10,3.18,2.62,0.542,0.36,0.389,0.416
184,複層（空気層6mm）,セラミック印刷(白面積30%）+透明,12,3.14,2.59,0.52,0.351,0.377,0.401
185,複層（空気層6mm）,セラミック印刷(白面積50%）+透明,6,3.27,2.67,0.498,0.333,0.359,0.384
186,複層（空気層6mm）,セラミック印刷(白面積50%）+透明,8,3.22,2.64,0.478,0.324,0.348,0.37
187,複層（空気層6mm）,セラミック印刷(白面積50%）+透明,10,3.18,2.62,0.459,0.315,0.336,0.356
188,複層（空気層6mm）,セラミック印刷(白面積50%）+透明,12,3.14,2.59,0.442,0.307,0.327,0.344
189,複層（空気層6mm）,セラミック印刷(白面積70%）+透明,6,3.27,2.67,0.402,0.28,0.298,0.315
190,複層（空気層6mm）,セラミック印刷(白面積70%）+透明,8,3.22,2.64,0.388,0.273,0.289,0.304
191,複層（空気層6mm）,セラミック印刷(白面積70%）+透明,10,3.18,2.62,0.374,0.266,0.281,0.294
192,複層（空気層6mm）,セラミック印刷(白面積70%）+透明,12,3.14,2.59,0.363,0.26,0.274,0.286
193,複層（空気層6mm）,セラミック印刷(白面積100%）+透明,6,3.27,2.67,0.256,0.191,0.199,0.205
194,複層（空気層6mm）,セラミック印刷(白面積100%）+透明,8,3.22,2.64,0.251,0.189,0.195,0.202
195,複層（空気層6mm）,セラミック印刷(白面積100%）+透明,10,3.18,2.62,0.246,0.185,0.192,0.197
196,複層（空気層6mm）,セラミック印刷(白面積100%）+透明,12,3.14,2.59,0.241,0.183,0.189,0.194
201,複層（空気層6mm）,Low-E（高日射遮蔽型）+透明,6,2.46,2.1,0.313,0.234,0.246,0.257
202,複層（空気層6mm）,Low-E（高日射遮蔽型）+透明,8,2.44,2.09,0.31,0.234,0.245,0.255
203,複層（空気層6mm）,Low-E（高日射遮蔽型）+透明,10,2.41,2.07,0.306,0.233,0.243,0.252
204,複層（空気層6mm）,Low-E（高日射遮蔽型）+透明,12,2.39,2.05,0.303,0.232,0.241,0.25
205,複層（空気層6mm）,Low-E（日射遮蔽型）+透明,6,2.5,2.13,0.415,0.296,0.317,0.335
