ID,名称,WCON名,第1層材番,第1層厚,第2層材番,第2層厚,第3層材番,第3層厚,第4層材番,第4層厚,第5層材番,第5層厚,第6層材番,第6層厚,第7層材番,第7層厚,第8層材番,第8層厚,第9層材番,第9層厚,第10層材番,第10層厚,第11層材番,第11層厚
191,物販店舗_Ia_Ib_F38,F38,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
192,物販店舗_Ia_Ib_GF38,GF38,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
193,物販店舗_II_III_R39,R39,32,13,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,,,
194,物販店舗_II_III_W39,W39,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
195,物販店舗_II_III_C39,C39,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
196,物販店舗_II_III_F39,F39,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
197,物販店舗_II_III_GF39,GF39,41,3,27,27,22,150,,,,,,,,,,,,,,,,
198,物販店舗_IVa_IVb_V_R37,R37,32,13,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,,,
199,物販店舗_IVa_IVb_V_W37,W37,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
200,物販店舗_IVa_IVb_V_C37,C37,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
201,物販店舗_IVa_IVb_V_F37,F37,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
202,物販店舗_IVa_IVb_V_GF37,GF37,41,3,27,27,22,150,,,,,,,,,,,,,,,,
203,物販店舗_VI_R40,R40,32,13,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,,,
204,物販店舗_VI_W40,W40,32,13,92,,24,50,,,,,,,,,,,,,,,,
205,物販店舗_VI_C40,C40,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
206,物販店舗_VI_F40,F40,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
207,物販店舗_VI_GF40,GF40,41,3,27,27,22,150,,,,,,,,,,,,,,,,
