ID,名称,窓種,品種番号,ブラインド
1,単板_6_ブラインドなし,SNGL,3,0
2,単板_6_ブラインド中間色,SNGL,3,2
3,単板_8_ブラインドなし,SNGL,4,0
4,単板_8_ブラインド中間色,SNGL,4,2
5,複層_6+6+6_ブラインドなし,DL12,3,0
6,複層_6+6+6_ブラインド中間色,DL12,3,2
7,複層_8+6+8_ブラインドなし,DL12,4,0
8,複層_8+6+8_ブラインド中間色,DL12,4,2
