様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
2F,ｼﾝｸﾞﾙ(E3),ホテル等,客室,3.15,2.4,,,13,,,,,
2F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
2F,ｼﾝｸﾞﾙ(SE),ホテル等,客室,3.15,2.4,,,14,,,,,
2F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
2F,PS(S),ホテル等,電気・機械室（標準）,3.15,3.15,1.45,0.55,0.8,,,,,
2F,PS(中央5),ホテル等,電気・機械室（標準）,3.15,3.15,2.1,0.55,1.16,,,,,
2F,PS(中央4),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
2F,PS(中央3),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
3F,階段室,ホテル等,廊下（終日）,3.15,3.2,3.45,6.18,21.32,,,,,
3F,収納,ホテル等,湯沸室等,3.15,2.4,1.68,2.84,4.75,,,,,
3F,ﾂｲﾝ(W),ホテル等,客室,3.15,2.4,,,19.8,,,,,
3F,ﾂｲﾝ(W)UB,ホテル等,客室(洗面）,3.15,2.4,1.85,1.5,2.78,,,,,
3F,ｼﾝｸﾞﾙ(W1),ホテル等,客室,3.15,2.4,,,12.9,,,,,
3F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(W2),ホテル等,客室,3.15,2.4,,,12.9,,,,,
