様式 3-3. (換気)換気代替空調機入力シート,,,,
,,,,
,,,,
①,②,③,④,⑤
,,,,
機器名称,必要冷却能力,熱源効率,送風機定格出力,ポンプ定格出力
,,（一次換算値）,,
,[kW],[-],[kW],[kW]
,,,,
,,,,
