åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,6.1,8.4,3.9,3.9,3.6,4.1,4433.8,3114.4,1244.2,68.9,.0,48.8,1292.6,3208.2,2309.7,569.5,795.5,1222.9,2445.8
1,2,0,8.2,11.3,5.1,4.6,4.7,4.6,4054.0,2907.9,1203.3,72.3,.0,39.6,1147.8,2879.3,2114.0,616.6,901.3,1127.5,2255.1
1,3,0,7.7,9.0,6.5,6.2,6.9,5.6,59.7,73.3,45.9,3.8,.0,.3,4.9,17.8,25.5,286.2,517.5,349.5,699.0
1,4,1,9.5,12.3,6.7,4.2,4.1,4.4,4667.2,3482.9,1505.8,96.8,.0,45.5,1268.1,3207.6,2437.9,546.9,740.8,1113.6,2227.1
1,5,2,8.4,10.0,6.7,5.0,4.9,5.0,2107.9,1924.1,793.7,27.3,.0,6.8,208.8,1013.1,1198.6,734.6,1214.2,787.9,1575.9
1,6,3,11.6,13.6,9.5,5.8,5.9,5.8,986.9,591.9,342.6,26.4,.0,9.4,470.6,847.1,457.0,728.6,1274.6,639.1,1278.1
1,7,4,9.9,11.6,8.2,4.1,3.9,4.4,3211.4,2293.3,915.5,54.1,.0,30.3,871.1,2269.0,1757.3,718.5,1125.8,1042.0,2084.1
1,8,5,7.4,8.3,6.4,4.1,3.9,4.3,67.8,44.2,20.6,1.4,.0,.4,23.3,53.0,35.5,367.9,665.2,436.1,872.3
1,9,6,8.7,10.8,6.6,4.9,4.9,5.0,3713.7,2576.4,1081.7,49.1,.0,45.1,1145.1,2699.8,2022.7,674.8,1017.6,1018.2,2036.4
1,10,7,8.9,10.8,6.9,5.6,5.5,5.6,1694.3,1243.5,345.5,5.8,.0,29.0,426.6,1147.6,993.7,746.7,1257.2,717.6,1435.1
1,11,1,10.6,12.5,8.8,4.8,4.4,5.3,3789.6,2766.5,1150.7,61.9,.0,37.4,1025.7,2624.2,2123.0,661.7,985.1,1154.3,2308.6
1,12,0,10.0,11.6,8.4,5.0,4.7,5.2,1776.1,853.0,267.9,14.7,.0,51.9,942.7,1739.6,934.6,800.0,1356.1,721.1,1442.1
1,13,3,7.5,7.8,7.3,5.5,5.9,5.2,13.7,9.1,2.4,.0,.0,.0,3.0,9.4,8.7,162.9,295.4,253.5,507.1
1,14,4,6.7,9.3,4.1,4.3,4.4,4.1,3625.5,3367.3,1546.9,112.4,.0,29.1,459.6,1882.7,2082.5,624.7,923.4,896.1,1792.2
1,15,5,5.3,7.8,2.9,3.8,3.7,3.8,4591.5,3231.5,1351.6,78.5,.0,68.8,1434.3,3362.4,2622.8,572.3,771.1,1185.7,2371.4
1,16,6,8.3,10.6,6.1,5.3,5.5,5.1,2461.3,1649.8,786.1,64.3,.0,60.3,1040.0,2000.5,1307.6,840.3,1389.8,885.6,1771.2
1,17,7,13.5,14.4,12.7,8.5,9.3,7.6,34.1,22.5,10.3,1.1,.0,1.1,16.3,29.6,17.5,246.0,445.4,265.2,530.3
1,18,1,10.0,10.9,9.1,5.0,4.9,5.0,589.1,405.4,249.5,26.6,.0,12.2,319.6,507.2,278.0,716.8,1272.3,497.2,994.4
