åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,-1.0,0.0,-1.9,2.7,2.7,2.8,1565.1,788.9,170.4,4.8,.0,1.7,454.8,1335.7,718.1,612.9,1038.6,659.4,1318.8
1,2,0,-0.1,1.9,-2.1,2.7,2.7,2.7,4978.3,3591.7,1362.9,39.4,.0,16.0,1173.0,3353.4,2088.1,415.8,528.0,1137.4,2274.8
1,3,0,1.2,2.3,0.1,3.2,3.3,3.2,2709.4,1257.9,239.7,6.3,.0,10.1,955.8,2466.0,1207.2,573.8,914.1,818.8,1637.5
1,4,1,2.0,3.4,0.6,3.6,3.6,3.6,1956.8,1026.6,287.4,5.0,.0,3.0,613.2,1623.3,883.5,628.2,1047.9,642.0,1284.0
1,5,2,-1.3,-0.3,-2.3,2.8,2.8,2.8,842.9,921.3,473.4,5.9,.0,1.5,63.0,243.9,337.4,540.3,944.4,665.8,1331.6
1,6,3,0.5,1.9,-0.9,2.9,2.9,3.0,2772.2,1264.6,256.7,7.6,.0,13.6,1029.5,2567.7,1236.3,580.2,922.3,783.9,1567.7
1,7,4,-1.2,-0.7,-1.8,2.8,2.8,2.9,1046.6,984.0,440.8,3.5,.0,1.7,123.6,437.1,461.0,615.9,1070.0,604.8,1209.5
1,8,5,-2.5,-0.7,-4.3,2.1,2.1,2.1,5012.7,3642.3,1403.6,42.5,.0,18.3,1178.3,3358.0,2191.4,423.4,532.7,1170.6,2341.1
1,9,6,-0.6,0.9,-2.2,2.6,2.6,2.6,5011.6,3605.2,1389.4,41.3,.0,21.8,1230.9,3406.1,2197.3,428.9,542.0,1202.5,2405.1
1,10,7,2.3,4.4,0.2,3.4,3.5,3.3,4797.3,3493.3,1343.9,40.1,.0,17.6,1114.0,3201.4,2142.6,448.0,583.8,1113.0,2226.0
1,11,1,1.9,2.4,1.4,3.8,3.8,3.7,116.9,83.1,37.4,1.6,.0,1.4,38.4,85.6,47.2,403.3,728.0,357.0,714.1
1,12,0,1.3,1.9,0.8,3.8,4.0,3.7,112.9,86.8,40.1,1.9,.0,1.3,34.3,76.9,45.7,375.1,676.9,287.8,575.7
1,13,3,0.5,1.1,-0.1,3.3,3.2,3.3,120.8,89.1,41.7,1.9,.0,1.5,38.8,85.9,49.3,404.7,730.4,281.4,562.9
1,14,4,0.0,0.9,-0.9,3.2,3.4,3.1,282.8,279.2,142.5,3.6,.0,1.5,42.5,113.6,123.8,473.1,846.7,466.9,933.9
1,15,5,-1.4,0.0,-2.8,2.5,2.4,2.5,3155.9,2026.7,714.1,27.3,.0,18.3,949.4,2417.7,1463.2,634.4,996.7,940.3,1880.6
1,16,6,-1.1,0.5,-2.7,2.3,2.3,2.3,4955.2,3507.8,1343.6,37.3,.0,29.4,1285.2,3434.3,2337.4,449.2,567.5,1158.9,2317.9
1,17,7,1.0,1.5,0.5,3.5,3.4,3.6,774.0,154.1,50.5,2.0,.0,15.9,594.0,967.6,300.7,535.5,938.5,546.6,1093.2
1,18,1,1.8,2.5,1.2,3.5,3.5,3.5,591.9,350.2,94.9,2.9,.0,2.2,133.0,467.1,310.9,608.6,1074.6,494.9,989.7
1,19,2,-2.4,-1.7,-3.1,2.5,2.6,2.5,589.3,165.9,65.9,3.5,.0,15.5,442.3,709.5,226.2,576.9,1022.3,641.4,1282.8
1,20,3,-1.9,-0.4,-3.5,2.2,2.2,2.3,5070.0,3686.9,1504.1,56.8,.0,36.4,1339.2,3482.9,2468.6,449.9,555.9,1099.6,2199.2
1,21,4,-1.7,-0.6,-2.9,2.5,2.6,2.5,3442.0,2699.1,877.6,8.7,.0,7.5,424.0,1989.6,1902.4,542.1,793.2,794.9,1589.8
1,22,5,0.2,1.8,-1.3,2.5,2.3,2.8,3244.6,1706.4,426.3,13.3,.0,38.2,1189.1,2853.6,1680.6,638.0,985.1,910.0,1820.1
1,23,6,-1.0,0.1,-2.1,2.7,2.4,2.9,1274.9,452.7,114.7,5.0,.0,34.7,804.3,1412.9,583.7,706.9,1221.2,601.3,1202.5
1,24,7,-3.6,-2.1,-5.0,2.1,2.1,2.1,4342.1,3544.7,1483.9,60.9,.0,17.4,785.6,2570.5,2292.2,527.5,721.1,913.0,1825.9
1,25,1,-2.1,0.0,-4.3,2.4,2.5,2.3,4332.2,2671.7,808.5,21.4,.0,44.9,1330.3,3364.8,2369.4,515.1,693.1,1042.0,2084.1
1,26,2,0.6,1.9,-0.7,2.8,2.7,2.8,4799.4,3376.9,1337.1,42.5,.0,52.9,1377.4,3415.4,2557.9,493.2,630.3,1113.0,2226.0
1,27,3,0.2,0.6,-0.3,3.2,3.2,3.3,133.5,99.6,41.7,2.7,.0,2.2,38.9,95.2,69.5,488.2,880.4,515.2,1030.4
1,28,4,-0.8,0.2,-1.8,2.7,2.6,2.9,3013.4,2577.8,1110.2,19.6,.0,24.4,575.5,1650.1,1674.1,694.3,1089.7,668.7,1337.5
1,29,5,-2.3,-1.6,-3.0,3.0,3.1,2.9,88.2,72.6,35.7,2.1,.0,1.6,23.5,57.5,45.9,422.9,764.1,346.6,693.1
1,30,6,-4.7,-4.2,-5.2,2.3,2.4,2.2,667.5,795.8,474.5,21.8,.0,5.9,67.5,193.2,334.5,682.6,1204.9,611.2,1222.3
1,31,7,-4.7,-3.7,-5.7,2.0,2.0,2.0,5065.2,3660.9,1551.2,69.9,.0,87.7,1541.0,3621.3,2861.6,480.5,578.0,1079.8,2159.7
2,1,1,-1.3,-0.3,-2.3,2.6,2.6,2.6,3719.5,2623.3,969.1,17.2,.0,56.5,1014.6,2609.2,2226.8,622.3,906.0,867.6,1735.2
2,2,2,1.4,1.9,0.9,3.8,3.9,3.6,52.8,48.8,33.0,5.7,.0,4.8,29.0,43.4,22.5,375.0,679.2,323.9,647.8
2,3,3,0.1,0.7,-0.5,3.0,2.9,3.1,1577.4,1536.0,813.8,64.3,.0,29.9,384.9,870.5,857.7,776.8,1321.2,883.3,1766.6
2,4,4,-1.5,0.1,-3.0,2.6,2.8,2.4,2914.0,1864.0,674.7,38.3,.0,28.7,876.4,2250.2,1835.7,750.4,1180.4,905.4,1810.8
2,5,5,-0.6,1.5,-2.7,2.3,2.3,2.3,4263.8,2996.5,1240.0,59.9,.0,84.7,1376.2,3140.8,2635.8,599.3,822.2,1025.8,2051.5
2,6,6,0.3,1.2,-0.6,3.4,3.5,3.3,311.1,175.6,56.5,10.2,.0,10.8,119.3,281.5,198.6,661.4,1182.8,452.4,904.8
2,7,7,-0.2,0.1,-0.5,3.6,3.7,3.5,664.9,463.0,125.2,16.9,.0,8.9,128.3,469.1,463.0,762.8,1342.1,394.3,788.5
2,8,1,-1.5,-1.4,-1.6,3.2,3.5,3.0,65.1,61.4,44.5,10.1,.0,5.7,37.1,56.6,31.6,424.7,768.7,262.8,525.7
2,9,2,-1.8,-1.0,-2.5,3.0,3.4,2.6,529.4,589.7,361.1,51.0,.0,9.7,81.7,265.8,310.7,728.7,1292.1,587.3,1174.6
2,10,3,-1.8,-0.8,-2.7,2.6,2.7,2.6,2437.8,1923.9,736.9,43.0,.0,30.0,422.3,1493.1,1731.0,787.7,1263.0,820.5,1641.0
2,11,0,-1.2,0.0,-2.5,2.4,2.3,2.6,3069.3,1924.1,641.7,34.0,.0,55.8,1015.8,2403.4,2178.0,747.8,1145.6,894.3,1788.7
2,12,5,-1.8,-0.2,-3.4,2.4,2.3,2.5,2379.8,1085.3,249.3,27.5,.0,113.1,1198.1,2414.3,1662.2,821.4,1328.1,834.5,1668.9
2,13,6,-5.3,-4.6,-5.9,2.1,2.1,2.1,152.4,245.3,212.1,55.1,.0,12.0,55.4,78.8,68.1,528.3,952.5,545.4,1090.9
2,14,7,-3.8,-2.2,-5.3,2.2,2.3,2.1,3248.7,2747.8,1652.1,245.2,.0,92.0,1216.5,2341.1,2171.3,825.0,1278.1,1007.7,2015.5
2,15,1,-1.4,0.5,-3.2,2.8,3.1,2.5,854.8,1094.7,782.1,100.2,.0,38.9,239.3,357.2,520.0,829.8,1452.6,920.5,1841.0
