åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,-13.0,-11.6,-14.5,1.3,1.5,1.2,4266.3,2912.6,781.3,1.5,.0,.9,758.8,2872.9,1195.2,319.1,433.8,785.0,1570.1
1,2,0,-11.8,-10.3,-13.3,1.5,1.7,1.4,1757.5,979.9,152.8,.3,.0,.4,428.5,1402.3,506.5,433.5,726.9,603.6,1207.2
1,3,0,-7.8,-6.2,-9.5,2.0,2.2,1.8,2776.7,2045.9,436.6,.4,.0,.3,258.3,1710.0,863.8,383.0,595.5,616.4,1232.8
1,4,1,-9.1,-7.3,-11.0,1.8,2.0,1.6,612.6,640.2,311.6,.2,.0,.1,43.6,182.2,145.1,337.0,593.1,460.0,919.9
1,5,2,-10.4,-8.3,-12.5,1.7,1.9,1.4,90.5,60.7,22.3,.1,.0,.1,26.2,64.6,21.9,240.8,435.0,266.9,533.8
1,6,3,-10.5,-7.6,-13.3,1.5,1.7,1.3,897.6,833.2,276.5,.2,.0,.2,49.0,372.9,268.1,358.0,618.7,471.0,942.0
1,7,4,-14.7,-13.4,-16.0,1.2,1.4,1.1,358.2,124.4,38.8,.2,.0,.2,179.7,359.9,84.2,315.2,561.7,451.8,903.7
1,8,5,-5.9,-4.1,-7.8,2.0,2.3,1.8,310.5,129.5,41.4,.2,.0,1.1,163.8,308.9,66.9,344.8,617.6,515.2,1030.4
1,9,6,-9.9,-9.6,-10.2,1.7,1.7,1.7,1028.6,416.4,81.9,.2,.0,.3,395.3,969.8,286.1,431.0,747.8,478.6,957.1
1,10,7,-8.4,-5.9,-11.0,1.7,1.9,1.6,391.8,372.7,172.6,.4,.0,.2,45.9,161.7,101.4,363.5,647.8,440.2,880.4
1,11,1,-10.1,-7.0,-13.2,1.6,1.8,1.3,4269.0,2990.8,870.4,3.7,.0,1.2,732.2,2802.3,1306.1,341.4,465.2,792.6,1585.2
1,12,0,-11.7,-10.9,-12.6,1.6,1.7,1.5,116.4,81.6,31.4,.4,.0,.2,29.4,80.0,31.4,283.0,510.6,342.5,685.0
1,13,3,-5.3,-3.5,-7.1,2.2,2.3,2.1,1525.7,1003.0,114.7,.6,.0,.5,139.6,1074.5,549.5,426.1,714.1,480.3,960.6
1,14,4,-10.1,-8.1,-12.1,1.6,1.6,1.5,106.4,71.9,23.5,.4,.0,.2,25.7,75.1,31.4,275.9,497.8,235.5,471.0
