åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,19.6,19.9,19.2,11.7,12.2,11.2,130.1,75.7,37.7,3.0,.0,.7,52.5,108.3,87.0,537.6,968.8,236.1,472.2
1,2,0,18.5,18.8,18.1,9.2,9.1,9.4,407.6,414.4,219.2,16.8,.0,2.2,60.9,189.4,261.1,788.0,1406.1,416.9,833.9
1,3,0,18.6,19.3,18.0,8.9,8.9,8.9,460.0,321.4,109.5,1.9,.0,4.2,111.5,309.4,342.2,826.2,1468.9,418.7,837.4
1,4,1,17.5,17.2,17.9,9.9,10.2,9.5,90.9,70.5,27.9,.9,.0,2.3,27.7,60.0,62.5,503.0,908.3,292.5,585.0
1,5,2,20.9,21.2,20.5,12.8,12.9,12.6,667.4,760.6,436.2,9.2,.0,8.9,97.8,193.1,435.5,715.1,1256.0,382.0,764.1
1,6,3,20.5,20.5,20.5,12.9,12.7,13.0,32.0,24.6,9.5,.4,.0,.4,6.1,19.8,23.8,355.6,644.3,177.9,355.9
1,7,4,18.3,19.0,17.6,10.9,11.1,10.7,602.7,288.1,145.6,17.8,.0,15.0,360.5,635.7,363.4,804.6,1424.7,389.6,779.2
1,8,5,19.8,20.6,19.1,13.0,14.0,12.0,120.6,69.2,42.7,2.3,.0,5.8,88.2,122.4,63.8,414.5,746.6,226.2,452.4
1,9,6,18.0,18.3,17.8,8.2,8.2,8.3,293.8,291.0,208.4,24.9,.0,7.3,121.8,191.6,147.3,697.4,1251.4,479.7,959.5
1,10,7,16.0,16.2,15.7,5.7,5.7,5.7,584.0,355.0,161.7,5.4,.0,3.8,231.9,455.8,423.7,866.7,1534.0,579.8,1159.5
1,11,1,16.4,17.4,15.3,6.0,6.1,6.0,2187.2,2132.9,1003.6,52.1,.0,6.3,199.5,970.1,1624.9,899.1,1474.7,927.5,1855.0
1,12,0,16.8,18.4,15.2,7.6,7.8,7.5,2515.6,2048.1,1031.2,56.5,.0,69.0,882.4,1694.0,1694.8,959.0,1571.2,1038.6,2077.1
1,13,3,17.5,19.4,15.6,9.1,9.2,8.9,695.6,243.7,57.9,2.6,.0,59.1,522.8,836.3,443.4,890.0,1572.4,464.6,929.2
1,14,4,14.4,14.5,14.4,6.3,5.9,6.7,193.2,221.0,132.8,2.6,.0,1.5,29.6,52.3,136.5,548.7,983.9,391.9,783.9
1,15,5,15.3,15.8,14.9,6.3,6.0,6.6,1362.7,833.0,356.0,22.0,.0,29.0,500.4,1133.7,1011.5,975.6,1673.6,615.8,1231.6
1,16,6,16.3,17.1,15.5,6.4,6.7,6.0,643.0,301.0,111.7,3.6,.0,111.0,580.1,796.4,352.4,888.5,1577.0,526.8,1053.7
1,17,7,15.1,15.5,14.7,5.2,5.3,5.0,1026.7,709.0,298.3,12.1,.0,18.4,362.7,786.4,770.1,990.7,1724.7,729.8,1459.6
1,18,1,14.6,14.7,14.6,5.3,5.3,5.3,118.2,52.2,16.4,.6,.0,9.1,85.7,132.8,79.1,587.2,1059.5,494.9,989.7
1,19,2,15.6,16.2,14.9,5.9,6.0,5.7,386.5,129.2,43.5,.7,.0,12.2,252.2,429.0,290.1,819.9,1461.9,486.1,972.3
1,20,3,17.9,18.8,17.0,7.5,7.6,7.5,2245.4,1797.2,770.0,35.5,.0,17.5,423.8,1337.2,1847.6,965.8,1577.0,825.1,1650.3
1,21,4,18.1,18.9,17.4,8.9,9.5,8.3,586.4,446.4,231.2,10.0,.0,26.7,273.0,447.1,419.9,910.1,1611.9,601.9,1203.7
1,22,5,16.3,16.7,16.0,5.9,5.8,6.1,1707.2,833.2,313.7,15.9,.0,79.7,948.9,1693.0,1311.9,1049.8,1778.2,852.5,1705.0
