åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,5.7,6.9,4.4,3.3,3.1,3.4,3142.4,1840.9,462.6,6.9,.0,10.5,868.5,2464.0,1567.4,603.2,933.9,918.8,1837.5
1,2,0,5.6,6.6,4.5,3.1,3.0,3.3,905.7,979.7,638.5,17.8,.0,18.3,251.7,399.1,271.7,574.0,1008.3,798.4,1596.8
1,3,0,3.5,4.0,3.0,4.0,4.0,4.0,84.1,35.8,9.6,.7,.0,1.6,41.6,85.6,36.5,354.6,640.8,302.4,604.8
1,4,1,7.5,8.4,6.5,5.3,6.0,4.7,122.1,84.6,35.1,1.3,.0,1.6,39.8,91.1,53.1,417.0,752.5,300.1,600.1
1,5,2,5.5,6.4,4.6,3.1,2.9,3.3,2164.4,1854.7,925.7,32.0,.0,13.2,447.8,1219.2,954.3,715.4,1196.7,930.4,1860.8
1,6,3,3.5,4.6,2.4,2.6,2.4,2.7,4340.1,2983.5,1173.9,35.1,.0,39.4,1298.6,3156.2,2000.9,543.6,773.4,1160.1,2320.2
1,7,4,5.7,7.0,4.5,3.6,3.7,3.5,342.5,124.5,43.6,1.4,.0,3.9,177.7,348.7,157.5,509.5,909.5,610.6,1221.2
1,8,5,7.3,8.8,5.8,4.6,4.8,4.5,4383.5,2901.9,1017.9,28.5,.0,33.0,1240.5,3236.4,2139.3,521.9,723.4,999.0,1998.0
1,9,6,9.3,10.7,7.8,4.7,5.1,4.3,3007.1,2379.7,912.2,25.0,.0,8.0,458.0,1769.8,1549.4,638.1,1000.2,898.4,1796.8
1,10,7,5.5,6.2,4.8,2.2,2.3,2.2,4161.9,2701.0,1001.1,42.3,.0,39.5,1298.4,3179.5,2018.5,564.4,812.9,1190.9,2381.8
1,11,1,3.6,4.7,2.5,2.4,2.5,2.4,2657.3,1358.0,452.2,14.8,.0,40.5,1161.6,2435.8,1245.8,683.3,1108.3,1010.1,2020.1
1,12,0,4.2,5.4,3.1,2.7,2.7,2.7,4020.3,2513.4,943.8,57.9,.0,46.1,1354.6,3248.2,1945.0,577.7,844.3,1131.0,2262.0
1,13,3,3.0,4.6,1.4,2.9,2.9,2.9,4479.1,3138.9,1293.8,62.5,.0,39.0,1305.5,3234.1,2195.9,541.0,751.3,1140.3,2280.6
1,14,4,2.0,3.4,0.7,2.6,2.6,2.6,3257.0,2262.1,1175.9,84.4,.0,50.7,1277.0,2542.8,1432.4,701.5,1117.6,1110.1,2220.2
1,15,5,3.0,4.4,1.5,3.0,2.9,3.0,2319.6,1381.7,533.6,11.5,.0,23.3,871.2,1877.9,1160.8,723.2,1192.1,847.8,1695.7
1,16,6,4.2,5.6,2.7,3.4,3.2,3.6,2273.9,949.0,278.1,25.9,.0,25.6,1047.7,2276.5,1159.2,677.7,1110.7,797.2,1594.5
1,17,7,3.2,3.8,2.5,3.6,3.6,3.5,564.0,717.7,480.7,25.1,.0,4.0,68.4,156.9,211.2,601.2,1067.6,667.0,1334.0
1,18,1,3.6,4.6,2.5,3.2,3.4,3.1,561.3,338.4,115.1,14.8,.0,3.2,138.4,452.7,316.0,634.7,1122.3,585.6,1171.1
1,19,2,5.3,6.3,4.3,3.2,3.2,3.1,770.1,310.3,121.4,10.7,.0,26.0,503.2,846.4,347.0,698.6,1231.6,655.4,1310.7
1,20,3,4.7,5.7,3.8,3.5,3.6,3.4,1217.3,1380.5,717.2,64.4,.0,5.5,84.9,393.5,632.7,659.6,1133.9,633.8,1267.7
1,21,4,6.2,7.5,4.8,3.8,3.8,3.9,3847.7,2321.2,726.6,58.9,.0,47.2,1265.8,3122.7,2164.2,583.7,840.8,818.2,1636.3
1,22,5,7.5,7.5,7.5,5.7,5.9,5.5,89.5,72.8,48.2,7.2,.0,1.7,37.3,69.3,38.3,377.8,682.7,243.6,487.3
1,23,6,8.7,9.5,7.9,6.2,6.5,5.8,93.5,69.9,41.2,6.0,.0,2.9,41.9,78.1,42.1,418.3,756.0,337.3,674.5
1,24,7,5.7,6.7,4.6,3.4,3.3,3.5,1870.7,955.3,412.2,20.8,.0,58.0,1025.7,1791.8,960.2,801.0,1353.7,817.6,1635.2
1,25,1,5.1,6.3,3.9,3.5,3.4,3.6,729.4,504.9,199.9,13.6,.0,12.2,273.7,566.1,398.2,756.0,1332.8,650.1,1300.2
1,26,2,4.6,6.1,3.1,3.1,3.2,2.9,1781.1,1538.3,772.8,64.6,.0,42.1,450.8,1138.1,958.4,837.2,1421.2,951.3,1902.7
1,27,3,4.2,5.8,2.6,3.1,3.0,3.1,2298.6,861.5,295.1,28.8,.0,74.1,1356.3,2517.3,1266.6,742.2,1216.5,942.6,1885.2
1,28,4,3.9,5.5,2.2,2.8,2.8,2.7,2341.4,1391.8,745.0,55.3,.0,50.0,1154.7,2084.7,1256.0,823.3,1363.0,988.6,1977.1
1,29,5,2.9,4.4,1.4,2.4,2.5,2.4,3223.9,1714.1,530.1,31.1,.0,82.9,1416.9,2912.5,1949.8,717.4,1106.0,1004.3,2008.5
1,30,6,1.7,3.1,0.2,2.3,2.2,2.5,4352.9,3060.0,1391.2,119.1,.0,96.2,1547.3,3358.9,2563.4,619.4,861.8,1160.7,2321.3
1,31,7,1.9,3.5,0.2,2.5,2.5,2.5,3277.5,2420.3,1311.4,123.5,.0,83.7,1347.6,2545.8,1841.1,783.0,1229.3,1081.0,2162.0
2,1,1,4.8,6.5,3.2,3.2,3.3,3.2,2154.3,1965.1,899.3,100.6,.0,10.8,275.2,1167.8,1384.3,812.5,1338.6,885.0,1770.1
2,2,2,4.4,5.7,3.1,2.9,2.6,3.2,2457.5,1612.4,954.5,93.4,.0,61.4,1216.1,2106.2,1406.9,820.5,1343.3,985.1,1970.1
2,3,3,4.6,5.9,3.3,2.7,2.5,2.9,3279.7,1847.1,579.7,28.1,.0,65.0,1302.2,2788.6,2191.8,708.7,1070.0,952.5,1905.0
