åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,-0.7,-0.8,-0.7,2.0,1.8,2.2,1269.1,1039.7,207.4,2.4,.0,.7,64.4,696.0,528.0,447.9,758.3,603.0,1206.0
1,2,0,1.5,2.2,0.8,2.7,2.5,2.8,2592.6,1570.2,328.5,.3,.0,1.6,563.7,1927.9,1013.9,501.4,800.1,700.7,1401.4
1,3,0,3.4,4.5,2.3,3.8,3.7,3.9,667.8,137.4,4.9,.2,.0,4.0,400.0,786.8,214.5,335.2,583.8,446.0,892.0
1,4,1,0.4,1.2,-0.3,2.6,2.2,2.9,1435.0,1454.1,655.1,9.5,.0,.9,85.5,525.7,498.7,517.1,882.7,704.2,1408.4
1,5,2,-3.2,-3.5,-3.0,1.8,1.7,1.9,1692.2,1668.5,829.8,27.1,.0,1.0,193.1,708.1,549.8,557.6,949.0,754.8,1509.6
1,6,3,-4.1,-3.8,-4.5,2.4,2.5,2.3,126.4,127.6,78.9,7.4,.0,.2,24.6,66.1,32.1,309.9,559.4,280.3,560.6
1,7,4,-2.8,-3.5,-2.1,2.0,1.8,2.1,2312.0,1484.9,323.4,12.3,.0,1.5,361.9,1699.4,948.7,484.6,779.2,640.2,1280.5
1,8,5,-2.8,-2.6,-3.1,2.1,2.0,2.2,2559.5,1337.0,290.1,11.0,.0,8.4,805.2,2210.1,968.5,539.1,872.3,787.9,1575.9
1,9,6,-0.3,0.4,-0.9,3.3,3.4,3.3,347.4,251.5,87.6,5.1,.0,.9,70.5,239.3,129.1,467.2,835.0,358.8,717.6
1,10,7,-0.8,1.2,-2.8,2.4,2.3,2.5,3335.9,2241.0,713.7,18.6,.0,9.8,805.8,2377.1,1270.9,524.4,811.8,1088.6,2177.1
1,11,1,-3.2,-1.5,-5.0,2.1,2.1,2.1,1136.6,772.2,315.7,10.6,.0,4.5,338.0,825.4,397.3,599.1,1043.2,651.9,1303.7
1,12,0,-0.7,0.7,-2.1,2.6,2.5,2.6,1491.6,1235.2,491.8,9.5,.0,1.6,196.0,846.0,571.2,596.7,1021.1,777.5,1554.9
1,13,3,-2.1,-0.7,-3.5,2.1,2.1,2.2,2799.7,1987.5,575.9,6.6,.0,6.8,511.9,1848.7,1159.3,555.9,885.0,1030.4,2060.8
1,14,4,-1.2,-0.3,-2.1,2.6,2.9,2.4,515.5,457.4,179.5,1.6,.0,.5,54.7,245.6,208.6,528.2,937.4,548.9,1097.9
1,15,5,-2.2,-1.1,-3.3,2.0,1.9,2.0,2271.6,1277.7,341.3,13.5,.0,12.5,721.3,1883.5,908.4,605.1,1000.2,765.8,1531.7
1,16,6,-2.5,-2.0,-3.0,2.6,2.6,2.6,102.2,35.0,4.0,.0,.0,.8,44.9,104.7,42.0,328.8,593.1,301.2,602.4
1,17,7,2.7,3.6,1.8,3.6,3.7,3.5,216.1,249.1,140.8,7.3,.0,.1,10.3,69.4,72.8,393.6,707.1,338.4,676.9
1,18,1,-1.0,-0.5,-1.5,2.2,2.0,2.4,1765.9,1315.9,407.1,20.3,.0,1.4,197.0,1131.6,794.6,574.3,960.6,630.3,1260.7
1,19,2,-4.6,-4.0,-5.2,1.6,1.6,1.7,1985.3,1235.0,395.4,6.2,.0,13.8,623.8,1527.6,814.8,639.9,1073.4,876.3,1752.6
1,20,3,-3.9,-2.9,-4.9,1.8,1.8,1.9,2272.2,1502.3,566.8,15.5,.0,5.1,585.4,1640.7,959.8,638.5,1056.0,896.1,1792.2
1,21,4,-2.3,-0.8,-3.7,2.0,2.0,1.9,2731.2,2421.2,929.8,34.3,.0,3.1,246.2,1379.3,1217.5,576.7,918.8,994.4,1988.7
1,22,5,-3.3,-2.2,-4.5,2.1,2.1,2.2,3002.2,2195.5,736.3,10.0,.0,26.6,704.5,1997.5,1315.1,591.7,933.9,846.7,1693.3
1,23,6,-3.4,-2.4,-4.3,2.4,2.5,2.2,1804.1,435.9,40.1,3.1,.0,30.2,1085.7,2104.6,742.0,509.2,843.2,466.4,932.7
1,24,7,-4.2,-3.6,-4.9,1.8,1.7,1.8,2520.7,1675.1,482.8,4.3,.0,2.0,511.6,1717.1,1228.2,586.5,938.5,638.5,1277.0
1,25,1,-2.4,-2.0,-2.9,2.7,2.7,2.7,1187.2,1185.3,534.8,1.9,.0,7.5,137.5,423.0,540.4,513.6,875.7,488.5,976.9
1,26,2,0.3,1.2,-0.6,3.5,3.6,3.3,435.8,328.8,110.3,1.2,.0,5.0,83.5,276.5,209.1,582.0,1036.2,341.3,682.7
1,27,3,-2.8,-1.7,-3.8,2.4,2.4,2.3,1262.8,970.0,325.4,14.3,.0,7.8,172.9,789.6,628.6,669.0,1151.4,531.5,1063.0
1,28,4,-4.0,-2.5,-5.4,1.6,1.5,1.7,3532.7,2377.1,734.5,17.7,.0,29.2,848.3,2522.0,1747.1,571.0,856.0,858.9,1717.8
1,29,5,-3.4,-1.8,-5.0,2.1,2.1,2.0,2328.9,2243.6,961.8,32.8,.0,1.9,139.2,1034.7,1142.6,624.5,1015.3,637.9,1275.8
1,30,6,-5.0,-3.1,-6.9,1.5,1.4,1.7,3622.0,2932.2,1199.2,63.4,.0,59.0,842.3,2302.8,1713.9,587.5,885.0,1024.0,2048.0
1,31,7,-5.3,-3.8,-6.8,1.8,1.6,2.0,4043.5,2677.9,933.7,22.3,.0,61.3,1241.5,3026.6,2004.8,547.9,785.0,896.7,1793.3
2,1,1,-1.5,-0.8,-2.2,2.8,2.9,2.6,824.1,641.9,195.1,12.5,.0,17.1,164.9,544.3,428.6,676.7,1186.3,487.3,974.6
2,2,2,-2.2,-0.3,-4.2,2.1,2.1,2.0,5391.1,3936.1,1562.5,52.0,.0,109.4,1549.6,3780.7,2712.1,422.5,482.6,970.5,1941.0
2,3,3,-1.5,-0.7,-2.4,2.2,2.3,2.1,2158.8,1088.2,223.8,4.6,.0,15.3,726.2,1860.4,1199.2,672.7,1101.4,668.1,1336.3
2,4,4,-1.7,-0.3,-3.1,2.3,2.5,2.0,1618.7,1264.0,417.2,19.0,.0,9.9,211.9,1017.3,908.5,722.3,1221.2,527.4,1054.8
2,5,5,-2.6,-1.8,-3.4,2.5,2.5,2.4,2312.5,1290.8,226.8,25.8,.0,41.1,640.5,1981.6,1329.7,631.2,1014.1,525.7,1051.4
2,6,6,-1.9,-0.9,-2.9,2.6,2.8,2.3,525.8,306.5,130.3,10.3,.0,29.1,259.4,495.9,260.5,689.6,1225.8,545.4,1090.9
2,7,7,-2.2,0.0,-4.5,1.9,1.9,1.9,5125.3,3610.4,1318.5,37.2,.0,132.5,1502.6,3712.8,2876.5,456.4,535.0,941.4,1882.9
2,8,1,-2.8,-1.8,-3.7,2.2,2.2,2.2,1131.7,1075.2,680.3,74.9,.0,40.2,392.4,732.4,524.2,810.3,1414.2,564.6,1129.3
2,9,2,-1.1,1.0,-3.3,2.3,2.3,2.3,4580.9,3968.0,1745.4,80.9,.0,27.2,694.1,2485.5,2697.2,497.4,630.3,781.5,1563.1
2,10,3,-0.4,0.1,-0.8,3.1,3.1,3.1,383.8,50.7,15.8,1.1,.0,86.0,502.3,642.7,152.6,526.3,938.5,290.2,580.3
2,11,0,1.4,3.8,-0.9,3.0,3.0,3.0,3474.5,3130.2,1460.2,98.7,.0,78.9,643.8,1946.9,2053.4,664.1,997.9,796.7,1593.3
2,12,5,-1.3,0.1,-2.6,2.4,2.5,2.2,1247.9,796.9,388.0,22.9,.0,97.6,712.4,1136.1,677.9,856.5,1485.2,787.9,1575.9
2,13,6,-0.3,0.9,-1.5,2.1,2.0,2.2,3589.9,2996.2,1265.1,36.6,.0,50.3,718.8,2060.9,2269.3,663.8,979.2,870.5,1741.0
2,14,7,0.2,2.0,-1.5,2.6,2.8,2.5,1529.6,287.2,50.3,8.0,.0,93.0,1228.4,2008.0,894.0,668.0,1121.1,693.7,1387.5
2,15,1,0.7,1.3,0.1,3.5,3.6,3.4,70.4,22.6,3.5,.9,.0,19.3,77.7,107.4,35.7,401.3,725.7,261.1,522.2
