åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
1,1,0,-9.5,-9.0,-10.0,1.4,1.3,1.4,1492.5,1580.6,725.0,.8,.0,.5,64.4,456.2,377.5,395.3,669.9,606.5,1213.0
1,2,0,-9.6,-10.3,-8.9,1.4,1.3,1.4,2734.8,1780.2,599.9,1.6,.0,.9,645.9,1906.2,756.7,431.8,690.8,714.7,1429.3
1,3,0,0.8,1.4,0.2,2.9,2.8,2.9,435.5,148.2,33.0,.3,.0,.4,204.8,440.6,111.0,355.9,632.7,440.8,881.6
1,4,1,0.7,1.2,0.3,3.6,3.7,3.6,1184.9,1050.4,329.4,1.3,.0,.5,72.1,549.9,368.2,421.7,723.4,540.8,1081.6
1,5,2,-2.7,-1.7,-3.7,2.8,3.0,2.6,662.0,303.4,134.1,1.4,.0,2.2,336.2,615.2,141.1,391.6,692.0,532.7,1065.3
1,6,3,-3.9,-3.2,-4.7,1.9,1.6,2.2,4376.0,2838.4,783.8,2.8,.0,7.2,1010.6,3145.1,1283.0,350.7,482.6,806.0,1611.9
1,7,4,-3.1,-2.2,-4.0,2.4,2.7,2.0,120.5,81.4,21.5,.3,.0,.2,24.5,84.8,36.2,283.8,511.7,357.0,714.1
1,8,5,-2.4,-1.9,-3.0,2.2,2.1,2.2,1684.7,764.5,295.9,14.7,.0,4.0,729.1,1581.9,423.9,435.6,737.3,718.2,1436.3
1,9,6,2.5,4.6,0.4,3.4,3.6,3.1,954.4,585.7,169.9,1.4,.0,3.1,257.1,735.3,275.7,438.7,764.1,532.1,1064.1
1,10,7,-3.4,-3.7,-3.0,2.1,1.9,2.2,394.1,209.4,53.5,1.3,.0,.8,119.9,331.2,119.0,398.6,710.6,475.7,951.3
1,11,1,-6.6,-5.9,-7.2,1.4,1.4,1.4,1579.8,1149.1,303.1,2.8,.0,1.8,216.2,1038.0,510.7,468.8,793.2,786.8,1573.5
1,12,0,-7.1,-6.2,-8.0,1.4,1.4,1.3,4102.9,2729.4,900.5,7.7,.0,10.0,1031.3,2910.3,1229.1,398.9,576.8,1032.2,2064.3
1,13,3,-9.1,-7.8,-10.4,1.6,1.7,1.4,240.1,81.9,24.0,1.3,.0,3.6,155.6,271.8,52.9,323.8,581.5,391.9,783.9
1,14,4,-9.4,-8.8,-9.9,1.5,1.6,1.5,105.8,62.3,22.9,.3,.0,.5,38.1,85.1,29.5,286.0,516.4,268.7,537.3
1,15,5,-10.0,-8.8,-11.1,1.5,1.6,1.3,1017.8,410.8,109.3,4.9,.0,11.5,538.2,1049.8,269.1,460.8,803.6,490.8,981.6
1,16,6,-10.5,-8.7,-12.4,1.4,1.6,1.2,3559.6,1969.1,416.0,5.0,.0,9.7,991.4,2908.9,1197.5,426.5,637.3,683.8,1367.7
1,17,7,-10.8,-8.7,-12.8,1.3,1.5,1.2,4368.4,3166.1,1099.3,22.1,.0,7.8,855.4,2858.1,1436.8,385.8,533.8,954.8,1909.6
1,18,1,-8.2,-7.1,-9.4,1.7,1.7,1.7,1579.2,548.8,114.7,6.6,.0,14.2,793.8,1674.2,474.3,462.8,783.9,660.0,1320.0
1,19,2,-5.7,-5.6,-5.8,2.0,1.9,2.1,1489.0,1452.8,561.7,5.2,.0,.9,62.8,570.0,523.1,479.3,811.8,327.4,654.8
1,20,3,-7.4,-6.9,-7.8,1.8,1.8,1.7,403.0,446.5,259.4,7.2,.0,1.0,47.4,129.5,107.0,397.2,708.3,525.7,1051.4
1,21,4,-7.8,-7.6,-7.9,1.6,1.5,1.6,4526.9,3097.4,1009.1,24.9,.0,16.1,1066.4,3171.9,1576.2,388.6,525.7,1010.1,2020.1
1,22,5,-3.5,-3.2,-3.9,2.2,2.1,2.2,3155.6,1537.0,236.8,10.4,.0,16.2,1037.0,2834.8,1154.0,447.5,683.8,775.1,1550.3
1,23,6,-0.4,-0.1,-0.8,3.3,3.4,3.2,110.8,74.9,30.7,1.8,.0,.9,35.3,84.3,35.7,322.8,582.7,225.0,450.1
1,24,7,-1.9,-1.4,-2.4,2.8,2.8,2.8,113.7,89.1,42.6,2.8,.0,.7,29.9,76.4,35.9,322.8,582.7,303.5,607.1
1,25,1,-5.6,-4.5,-6.7,2.1,2.2,2.0,3458.8,2136.0,495.7,9.2,.0,3.5,747.3,2565.3,1390.9,453.2,672.2,699.5,1399.1
1,26,2,-4.9,-3.4,-6.4,2.0,2.1,1.9,2160.4,1304.0,254.1,6.5,.0,3.9,438.3,1659.4,891.5,545.5,895.5,654.8,1309.5
