様式 2-6. (空調)二次ポンプ入力シート,,,,,,,,,,
,,,,,,,,,,
①,②,③,③,④,⑤,⑥,⑦,⑧,⑨,⑩
,,,,,,,,,,
二次ポンプ群名称,台数制御の有無,冷房時温度差,暖房時温度差,運転順位,台数,定格流量,定格消費電力,流量制御方式,変流量時最小流量比,備考
,,,,,,,,,,（機器表の記号、系統名等）
,,,,,,,,,,
,,[℃],[℃],,[台],[?/h台],[kW/台],,[%],
,(選択),,,(選択),,,,(選択),,
,,,,,,,,,,
PC1,有,7,7,1番目,2,27.844,10.336,回転数制御,60,2次冷水
PH1,有,7,7,1番目,2,30.133,11.186,回転数制御,60,2次温水
PC1F,有,7,7,1番目,2,2.143,1,回転数制御,60,2次冷水
PH1F,有,7,7,1番目,2,2.803,1.04,回転数制御,60,2次温水
