様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭,
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御,
,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,,,,
3F,サーバー室,学校等,電気・機械室（高発熱）,35,,2.7,,,1,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,演習室401,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室402,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室403,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室404,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室405,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室406,学校等,教室（大学）,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室407,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室408,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室409,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室410,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室411,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室412,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室413,学校等,教室（大学）,23.4,,2.7,3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,演習室414,学校等,教室（大学）,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
4F,ラウンジ4,学校等,教室（大学）,22,,2.7,,,1.2,ダウンライト,aL141,16,10,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,演習室415,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,演習室416,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,14,,,,,,,
,,,,,,,,,,黒板灯,H322,55,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,3,,,,,,,
4F,演習室417,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,18,,,,,,,
,,,,,,,,,,黒板灯,H322,55,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
4F,ディスカッションコーナー1,学校等,教室（大学）,52,,2.7,,,1.9,ダウンライト,aL141,16,42,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,7,,,,,,,
,,,,,,,,,,廊下通路誘導灯(壁埋込型),Yc11E,2.4,3,,,,,,,
4F,倉庫3,学校等,湯沸室等,12,,2.7,,,0.6,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,給湯2,学校等,湯沸室等,3.75,,2.7,,,0.3,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
4F,EVホール,学校等,教室（大学）,17.5,,2.7,,,0.7,ダウンライト,aL141,16,8,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,男WC3,学校等,トイレ,22.5,,2.4,,,1,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,女WC3,学校等,トイレ,20.25,,2.4,,,0.9,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
4F,多目的WC3,学校等,トイレ,5,,2.4,,,0.5,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,大学院長室,学校等,事務室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
5F,大学院役職者室,学校等,事務室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
5F,大学院事務室,学校等,事務室,181.25,,2.7,,,3.5,ベーシックベースライト(調光可能),Ca322C,72,46,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,6,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,2,,,,,,,
5F,大学院倉庫,学校等,湯沸室等,20,,2.7,,,0.8,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,ロッカー,学校等,湯沸室等,12.5,,2.7,,,0.6,ベーシックベースライト(調光可能),Ca322C,72,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,作業室,学校等,事務室,17.5,,2.7,,,1.1,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
5F,講師控室,学校等,事務室,75,,2.7,,,2.3,非常用照明器具,ed451d,45,1,,,,,,,
5F,会議室501,学校等,事務室,84.5,,2.7,,,2.3,ベーシックベースライト(調光可能),Ca322C,72,21,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,7,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,2,,,,,,,
5F,会議室502,学校等,事務室,22,,2.7,,,1.2,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
5F,共用応接室,学校等,事務室,24,,2.7,,,1.3,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
5F,倉庫3,学校等,湯沸室等,10.5,,2.7,,,0.6,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,ラウンジ5,学校等,教室（大学）,18,,2.7,,,0.7,ブラケット,WL52,16,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,7,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,給湯2,学校等,湯沸室等,3.75,,2.7,,,0.3,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
5F,EVホール,学校等,教室（大学）,17.5,,2.7,,,0.7,ダウンライト,aL141,16,8,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,男WC3,学校等,トイレ,22.5,,2.4,,,1,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,女WC3,学校等,トイレ,20.25,,2.4,,,0.9,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
5F,多目的WC3,学校等,トイレ,5,,2.4,,,0.5,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,会議室601,学校等,事務室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
6F,会議室602,学校等,事務室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
6F,研究知財倉庫,学校等,事務室,52,,2.7,,,1.3,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
6F,男子更衣室,学校等,事務室,16,,2.7,,,0.6,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
6F,女子更衣室,学校等,事務室,16,,2.7,,,0.6,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
6F,研究知財事務室,学校等,事務室,185,,2.7,,,3.4,ベーシックベースライト(調光可能),Ca322C,72,65,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,9,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,2,,,,,,,
6F,応接ブース,学校等,事務室,10.5,,2.7,,,0.9,ベーシックベースライト(調光可能),Ca322C,72,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,会議ブース,学校等,事務室,13.5,,2.7,,,0.9,ベーシックベースライト(調光可能),Ca322C,72,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,研究知財役職室,学校等,事務室,44,,2.7,,,1.7,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,13,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
6F,倉庫3,学校等,湯沸室等,10.5,,2.7,,,0.6,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,4,,,,,,,
6F,ラウンジ6,学校等,教室（大学）,8,,2.7,,,0.5,ダウンライト,aL141,16,7,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,ラウンジ6流し,学校等,事務室,2,,2.7,,,0.2,流し元灯,N21,24,1,,,,,,,
6F,ポンプ室,学校等,電気・機械室（標準）,28,,2.7,,,0.9,反射笠付,K322,42,9,,,,,,,
6F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
6F,男WC4,学校等,トイレ,13.5,,2.4,,,0.8,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,2,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
6F,女WC4,学校等,トイレ,15,,2.4,,,0.8,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,3,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
7F,リエゾンラボラトリー701,学校等,研究室,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
7F,リエゾンラボラトリー702,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,リエゾンラボラトリー703,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,サーバー室,学校等,電気・機械室（高発熱）,50.7,,2.7,6.5,7.8,,ベーシックベースライト(調光可能),Ca322C,72,8,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
7F,会議室704,学校等,事務室,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,リエゾンラボラトリー705,学校等,研究室,31.5,,2.7,6.3,5,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,リエゾンラボラトリー706,学校等,研究室,31.5,,2.7,6.3,5,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,リエゾンラボラトリー707,学校等,研究室,31.5,,2.7,6.3,5,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,リエゾンラボラトリー708,学校等,研究室,31,,2.7,6.2,5,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,ディスカッションコーナー2,学校等,事務室,14,,2.7,2.8,5,,ベーシックベースライト(調光可能),Ca322C,72,3,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
7F,会議室709,学校等,事務室,46.4,,2.7,5.8,8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,13,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,倉庫3,学校等,湯沸室等,6,,2.7,,,0.4,埋込下面開放,A321,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
7F,ゴミコーナー,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,4,,,,,,,
7F,ラウンジ6,学校等,教室（大学）,8,,2.7,,,0.5,ブラケット,WL52,16,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,11,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
7F,ラウンジ6流し,学校等,事務室,2,,2.7,,,0.2,流し元灯,N21,24,1,,,,,,,
7F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
7F,男WC4,学校等,トイレ,15.75,,2.4,,,0.8,LEDライン照明,RaL261,34,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,2,,,,,,,
,,,,,,,,,,片反射笠付,L21,26,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
7F,女WC4,学校等,トイレ,15,,2.4,,,0.8,LEDライン照明,RaL261,34,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
8F,共同研究室801,学校等,研究室,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
8F,共同研究室802,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
8F,共同研究室803,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
8F,共同研究室804,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室805,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
8F,共同研究室806,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室807,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室808,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室809,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室810,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室811,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,共同研究室812,学校等,研究室,21.84,,2.7,2.8,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,ミーティングブース1,学校等,事務室,36,,2.7,,,1.6,ブラケット,WL52,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,倉庫3,学校等,湯沸室等,6,,2.7,,,0.4,埋込下面開放,A321,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
8F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,4,,,,,,,
8F,ラウンジ6,学校等,教室（大学）,8,,2.7,,,0.5,ダウンライト,aL141,16,15,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
8F,ラウンジ6流し,学校等,事務室,2,,2.7,,,0.2,流し元灯,N21,24,1,,,,,,,
8F,非EVロビー兼用付室,学校等,教室（大学）,20,,2.7,,,0.7,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
8F,男WC4,学校等,トイレ,15.75,,2.4,,,0.8,LEDライン照明,RaL261,34,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,2,,,,,,,
,,,,,,,,,,片反射笠付,L21,26,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
8F,女WC4,学校等,トイレ,15,,2.4,,,0.8,LEDライン照明,RaL261,34,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
9F,共同研究室901,学校等,研究室,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
9F,共同研究室902,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
9F,共同研究室903,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
9F,共同研究室904,学校等,研究室,24.18,,2.7,3.1,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室905,学校等,研究室,25.74,,2.7,3.3,7.8,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
9F,共同研究室906,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室907,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室908,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室909,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室910,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室911,学校等,研究室,24.96,,2.7,3.2,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,共同研究室912,学校等,研究室,21.84,,2.7,2.8,7.8,,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,倉庫3,学校等,湯沸室等,6,,2.7,,,0.4,埋込下面開放,A321,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
9F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,4,,,,,,,
9F,ラウンジ6,学校等,教室（大学）,8,,2.7,,,0.5,ブラケット,WL52,16,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,15,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
9F,ラウンジ6流し,学校等,事務室,2,,2.7,,,0.2,流し元灯,N21,24,1,,,,,,,
9F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
