様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-5-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-6-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-7-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-8-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-9-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-10-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-11-1,2,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,6,FCU,4.4,4,,0.082,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-3
,4,FCU,2.8,2.6,,0.057,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-4
FCU-B-1,1,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
FCU-1-2,1,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
,1,全熱交ユニット,,,60,,,0.084,,定風量制御,,無,無,有,60,50,無,,,,,,HEX-1-2
FCU-1-3,1,FCU,1.9,2.1,,0.046,,,,定風量制御,,無,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,FC-2
ACP-1-1,1,室内機,5.6,7.3,880,0.04,,,,定風量制御,,無,無,無,,,,,,,PAC-1-1,PAC-1-1,PAC-2-1
,1,全熱交ユニット,,,90,,,0.084,,定風量制御,,無,無,有,90,50,無,,,,,,HEX-1-1
,,,,,,,,,,,,,,,,,,,,,,,
