1F,エントランスホール,Office,ロビー,6.4,9,22.4,201.6,1.0032,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,95,60,28.2738,17.9, , , , ,　,　,1,3133,122006.5392,174295.056,110345.2826,1.1057
1F,1FEVホール,Office,ロビー,2.4,11,3.2,37.4,1.0329,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,48,12,15.4011,17.9, , , , ,　,　,1,3133,12329.0819,17612.9741,20470.8014,0.60228
1F,廊下,Office,廊下,2.4,0,0,88.6,0.69645,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,25,13.544,8, ,減光, , ,　,　,0.95,3133,17429.5056,34859.0112,21673.7431,0.80418
1F,階段室Ｎ,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
1F,乗降ロビー,Office,ロビー,2.4,2.6,4.3,11.2,0.67512,0.5,Null,Null,123.2,1,11,17.9, , , , ,　,　,1,3133,1883.6097,3767.2195,6130.2935,0.30726
1F,DS,Office,機械室,4,1,7,7,0.21875,0.5,直付富士型,Null,22,2,6.2857,4.9, , , , ,　,　,1,200,42.944,85.888,66.9536,0.6414
1F,機械室1,Office,機械室,4,3.2,7,22.4,0.54902,0.5,直付富士型,Null,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
1F,PS1,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
1F,男子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
1F,EPS,Office,電気室,4,6.1,1,6.1,0.21479,0.5,直付富士型,Null,22,2,7.2131,4.9, , , , ,　,　,1,200,42.944,85.888,58.3453,0.73603
1F,アラーム弁室,Office,機械室,4,1.9,1,1.9,0.16379,0.5,直付富士型,Null,22,1,11.5789,4.9, , , , ,　,　,1,200,21.472,42.944,18.1731,1.1815
