4F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-1･･8F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,127.4087,908.169,0.14029
5F,男子便所,Office,便所,16.2,送風機,FE-WC1-1･･8F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,509.6347,6687.4261,0.076208
5F,女子便所,Office,便所,16.2,送風機,FE-WC2-1･･8F,Exist,680,0.125,,,,,7.716,13.5, , , ,1,3133,637.0433,6687.4261,0.09526
5F,多目的便所,Office,便所,4,送風機,dumy4,Exist,0,0,,,,,0,13.5, , , ,1,3133,0,1651.2163,0
5F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-1･･8F,Exist,60,0.025,,,,,3.5714,4.5, , , ,1,2000,81.3333,614.88,0.13228
5F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-1･･8F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,127.4087,908.169,0.14029
6F,男子便所,Office,便所,16.2,送風機,FE-WC1-1･･8F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,509.6347,6687.4261,0.076208
6F,女子便所,Office,便所,16.2,送風機,FE-WC2-1･･8F,Exist,680,0.125,,,,,7.716,13.5, , , ,1,3133,637.0433,6687.4261,0.09526
6F,多目的便所,Office,便所,4,送風機,dumy4,Exist,0,0,,,,,0,13.5, , , ,1,3133,0,1651.2163,0
6F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-1･･8F,Exist,60,0.025,,,,,3.5714,4.5, , , ,1,2000,81.3333,614.88,0.13228
6F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-1･･8F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,127.4087,908.169,0.14029
7F,男子便所,Office,便所,16.2,送風機,FE-WC1-1･･8F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,509.6347,6687.4261,0.076208
