名称,窓種,品種番号,ブラインド
WNDW1_0,DL06,2,0
WNDW1_1,DL06,2,1
WNDW1_2,DL06,2,2
WNDW2_0,DL06,39,0
WNDW2_1,DL06,39,1
WNDW2_2,DL06,39,2
WNDW3_0,DL12,38,0
WNDW3_1,DL12,38,1
WNDW3_2,DL12,38,2
WNDW3_3,DL12,38,3
Null,SNGL,1,0
