様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AHU1,1,空調機,72.624,72.624,13072.32,11.17292308,,,,定風量制御,,有,無,有,13072.32,50,無,0.1,PC1,PH1,AHP1,AHP1,
AHU2,1,空調機,110.894,105.287,19936,17.06061538,,,,定風量制御,,有,無,有,19936,50,無,0.1,PC2,PH2,AHP2,AHP2,
AHU3,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC3,PH3,AHP3,AHP3,
AHU4,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC4,PH4,AHP4,AHP4,
AHU5,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC5,PH5,AHP5,AHP5,
AHU6,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC6,PH6,AHP6,AHP6,
AHU7,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC7,PH7,AHP7,AHP7,
AHU8,1,空調機,59.412,59.412,10694.16,9.140307692,,,,定風量制御,,有,無,有,10694.16,50,無,0.1,PC8,PH8,AHP8,AHP8,
AHU9,1,空調機,22.7662,21.6151,4092.8,3.502492308,,,,定風量制御,,有,無,有,4092.8,50,無,0.1,PC9,PH9,AHP9,AHP9,
AHU10,1,空調機,11.56,9.605,2082.5,1.778461538,,,,定風量制御,,有,無,有,2082.5,50,無,0.1,PC10,PH10,AHP10,AHP10,
AHU11,1,空調機,17.3376,20.7648,3124.8,3.194584615,,,,定風量制御,,有,無,有,3124.8,50,無,0.1,PC11,PH11,AHP11,AHP11,
AHU12,1,空調機,2.4208,2.0114,436.1,0.372430769,,,,定風量制御,,有,無,有,436.1,50,無,0.1,PC12,PH12,AHP12,AHP12,
AHU13,1,空調機,2.2321,2.4973,402.22,0.3842,,,,定風量制御,,有,無,有,402.22,50,無,0.1,PC13,PH13,AHP13,AHP13,
AHU14,1,空調機,1.212,1.356,218.4,0.208615385,,,,定風量制御,,有,無,有,218.4,50,無,0.1,PC14,PH14,AHP14,AHP14,
AHU15,1,空調機,2.2624,2.5312,407.68,0.389415385,,,,定風量制御,,有,無,有,407.68,50,無,0.1,PC15,PH15,AHP15,AHP15,
AHU16,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC16,PH16,AHP16,AHP16,
AHU17,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC17,PH17,AHP17,AHP17,
AHU18,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC18,PH18,AHP18,AHP18,
AHU19,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC19,PH19,AHP19,AHP19,
AHU20,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC20,PH20,AHP20,AHP20,
AHU21,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC21,PH21,AHP21,AHP21,
AHU22,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC22,PH22,AHP22,AHP22,
AHU23,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC23,PH23,AHP23,AHP23,
AHU24,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,50,無,0.1,PC24,PH24,AHP24,AHP24,
AHU25,1,空調機,117.6104,98.876,21180.28,18.09390769,,,,定風量制御,,有,無,有,21180.28,50,無,0.1,PC25,PH25,AHP25,AHP25,
