様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱有無,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AHP1,無,有,,,空冷ヒートポンプ,1番目,1,7,44.1796,13.9196,,1.004081818,,,,1番目,1,45,47.8108,13.9196,,1.086609091,
,,,,,空冷ヒートポンプ,2番目,1,7,44.1796,13.9196,,1.004081818,,,,2番目,1,45,47.8108,13.9196,,1.086609091,
AHP2,無,有,,,空冷ヒートポンプ,1番目,1,7,67.284,20.559,,1.529181818,,,,1番目,1,45,69.776,20.559,,1.585818182,
,,,,,空冷ヒートポンプ,2番目,1,7,67.284,20.559,,1.529181818,,,,2番目,1,45,69.776,20.559,,1.585818182,
AHP3,無,有,,,空冷ヒートポンプ,1番目,1,7,45.479,14.329,,1.033613636,,,,1番目,1,45,49.217,14.329,,1.118568182,
,,,,,空冷ヒートポンプ,2番目,1,7,45.479,14.329,,1.033613636,,,,2番目,1,45,49.217,14.329,,1.118568182,
AHP4,無,有,,,空冷ヒートポンプ,1番目,1,7,45.479,14.329,,1.033613636,,,,1番目,1,45,49.217,14.329,,1.118568182,
,,,,,空冷ヒートポンプ,2番目,1,7,45.479,14.329,,1.033613636,,,,2番目,1,45,49.217,14.329,,1.118568182,
AHP5,無,有,,,空冷ヒートポンプ,1番目,1,7,45.479,14.329,,1.033613636,,,,1番目,1,45,49.217,14.329,,1.118568182,
,,,,,空冷ヒートポンプ,2番目,1,7,45.479,14.329,,1.033613636,,,,2番目,1,45,49.217,14.329,,1.118568182,
AHP6,無,有,,,空冷ヒートポンプ,1番目,1,7,45.479,14.329,,1.033613636,,,,1番目,1,45,49.217,14.329,,1.118568182,
,,,,,空冷ヒートポンプ,2番目,1,7,45.479,14.329,,1.033613636,,,,2番目,1,45,49.217,14.329,,1.118568182,
AHP7,無,有,,,空冷ヒートポンプ,1番目,1,7,45.479,14.329,,1.033613636,,,,1番目,1,45,49.217,14.329,,1.118568182,
,,,,,空冷ヒートポンプ,2番目,1,7,45.479,14.329,,1.033613636,,,,2番目,1,45,49.217,14.329,,1.118568182,
AHP8,無,有,,,空冷ヒートポンプ,1番目,1,7,36.1423,11.3873,,0.821415909,,,,1番目,1,45,39.1129,11.3873,,0.888929545,
,,,,,空冷ヒートポンプ,2番目,1,7,36.1423,11.3873,,0.821415909,,,,2番目,1,45,39.1129,11.3873,,0.888929545,
AHP9,無,有,,,空冷ヒートポンプ,1番目,1,7,13.8132,4.2207,,0.313936364,,,,1番目,1,45,14.3248,4.2207,,0.325563636,
,,,,,空冷ヒートポンプ,2番目,1,7,13.8132,4.2207,,0.313936364,,,,2番目,1,45,14.3248,4.2207,,0.325563636,
AHP10,無,有,,,空冷ヒートポンプ,1番目,1,7,6.97,2.125,,0.158409091,,,,1番目,1,45,6.375,1.87,,0.144886364,
,,,,,空冷ヒートポンプ,2番目,1,7,6.97,2.125,,0.158409091,,,,2番目,1,45,6.375,1.87,,0.144886364,
AHP11,無,有,,,空冷ヒートポンプ,1番目,1,7,10.4832,3.2256,,0.238254545,,,,1番目,1,45,13.7088,4.032,,0.311563636,
,,,,,空冷ヒートポンプ,2番目,1,7,10.4832,3.2256,,0.238254545,,,,2番目,1,45,13.7088,4.032,,0.311563636,
AHP12,無,有,,,空冷ヒートポンプ,1番目,1,7,1.4596,0.445,,0.033172727,,,,1番目,1,45,1.335,0.3916,,0.030340909,
,,,,,空冷ヒートポンプ,2番目,1,7,1.4596,0.445,,0.033172727,,,,2番目,1,45,1.335,0.3916,,0.030340909,
AHP13,無,有,,,空冷ヒートポンプ,1番目,1,7,1.3481,0.4199,,0.030638636,,,,1番目,1,45,1.6575,0.4862,,0.037670455,
,,,,,空冷ヒートポンプ,2番目,1,7,1.3481,0.4199,,0.030638636,,,,2番目,1,45,1.6575,0.4862,,0.037670455,
AHP14,無,有,,,空冷ヒートポンプ,1番目,1,7,0.732,0.228,,0.016636364,,,,1番目,1,45,0.9,0.264,,0.020454545,
,,,,,空冷ヒートポンプ,2番目,1,7,0.732,0.228,,0.016636364,,,,2番目,1,45,0.9,0.264,,0.020454545,
AHP15,無,有,,,空冷ヒートポンプ,1番目,1,7,1.3664,0.4256,,0.031054545,,,,1番目,1,45,1.68,0.4928,,0.038181818,
,,,,,空冷ヒートポンプ,2番目,1,7,1.3664,0.4256,,0.031054545,,,,2番目,1,45,1.68,0.4928,,0.038181818,
AHP16,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP17,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP18,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP19,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP20,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP21,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP22,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP23,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP24,無,有,,,空冷ヒートポンプ,1番目,1,7,1.9448,0.5984,,0.0442,,,,1番目,1,45,2.5432,0.748,,0.0578,
,,,,,空冷ヒートポンプ,2番目,1,7,1.9448,0.5984,,0.0442,,,,2番目,1,45,2.5432,0.748,,0.0578,
AHP25,無,有,,,空冷ヒートポンプ,1番目,1,7,71.2948,21.8568,,1.620336364,,,,1番目,1,45,65.05,19.2548,,1.478409091,
,,,,,空冷ヒートポンプ,2番目,1,7,71.2948,21.8568,,1.620336364,,,,2番目,1,45,65.05,19.2548,,1.478409091,
