様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
7F,客室W10,北,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W11,南,,,W1,19,G1,2.52,有
,,西,,,W1,22.8,,,
,,水平,,,R1,23.4,,,
7F,客室W12,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W13,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W14,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W15,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W16,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W17,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W18,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W19,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
7F,客室W20,南,,,W1,19,G1,2.52,有
,,水平,,,R1,23.4,,,
,,,,,,,,,
