様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
2F,客室W17,ホテル等,客室,23.4,3.8,2.6,2F,客室W17,FCU4-217,OHU-2
2F,客室W18,ホテル等,客室,23.4,3.8,2.6,2F,客室W18,FCU4-218,OHU-2
2F,客室W19,ホテル等,客室,23.4,3.8,2.6,2F,客室W19,FCU4-219,OHU-2
2F,客室W20,ホテル等,客室,23.4,3.8,2.6,2F,客室W20,FCU4-220,OHU-2
3F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,3F,EVホール,FCU2-3,OHU-3
3F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,3F,リネン室,FCU1-3,OHU-3
3F,客室S01,ホテル等,客室,12.6,3.8,2.6,3F,客室S01,FCU3-301,OHU-3
3F,客室S02,ホテル等,客室,12.6,3.8,2.6,3F,客室S02,FCU3-302,OHU-3
3F,客室S03,ホテル等,客室,12.6,3.8,2.6,3F,客室S03,FCU3-303,OHU-3
3F,客室S04,ホテル等,客室,12.6,3.8,2.6,3F,客室S04,FCU3-304,OHU-3
3F,客室S05,ホテル等,客室,12.6,3.8,2.6,3F,客室S05,FCU3-305,OHU-3
3F,客室S06,ホテル等,客室,12.6,3.8,2.6,3F,客室S06,FCU3-306,OHU-3
3F,客室S07,ホテル等,客室,12.6,3.8,2.6,3F,客室S07,FCU3-307,OHU-3
3F,客室S08,ホテル等,客室,12.6,3.8,2.6,3F,客室S08,FCU3-308,OHU-3
3F,客室S09,ホテル等,客室,12.6,3.8,2.6,3F,客室S09,FCU3-309,OHU-3
3F,客室S10,ホテル等,客室,12.6,3.8,2.6,3F,客室S10,FCU3-310,OHU-3
3F,客室S11,ホテル等,客室,12.6,3.8,2.6,3F,客室S11,FCU3-311,OHU-3
3F,客室S12,ホテル等,客室,12.6,3.8,2.6,3F,客室S12,FCU3-312,OHU-3
3F,客室S13,ホテル等,客室,12.6,3.8,2.6,3F,客室S13,FCU3-313,OHU-3
3F,客室S14,ホテル等,客室,12.6,3.8,2.6,3F,客室S14,FCU3-314,OHU-3
3F,客室S15,ホテル等,客室,12.6,3.8,2.6,3F,客室S15,FCU3-315,OHU-3
3F,客室S16,ホテル等,客室,12.6,3.8,2.6,3F,客室S16,FCU3-316,OHU-3
3F,客室S17,ホテル等,客室,12.6,3.8,2.6,3F,客室S17,FCU3-317,OHU-3
3F,客室S18,ホテル等,客室,12.6,3.8,2.6,3F,客室S18,FCU3-318,OHU-3
3F,客室S19,ホテル等,客室,12.6,3.8,2.6,3F,客室S19,FCU3-319,OHU-3
3F,客室S20,ホテル等,客室,12.6,3.8,2.6,3F,客室S20,FCU3-320,OHU-3
3F,客室S21,ホテル等,客室,12.6,3.8,2.6,3F,客室S21,FCU3-321,OHU-3
3F,客室S22,ホテル等,客室,12.6,3.8,2.6,3F,客室S22,FCU3-322,OHU-3
