様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
FCU2-6,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU2-7,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-201,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-202,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-203,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-204,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-205,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-206,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-207,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-208,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-209,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-210,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-211,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-212,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-213,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-214,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-215,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-216,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-217,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-218,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-219,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-220,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-221,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
