様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
FCU4-407,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-408,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-409,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-410,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-411,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-412,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-413,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-414,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-415,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-416,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-417,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-418,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-419,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-420,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-501,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-502,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-503,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-504,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-505,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-506,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-507,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-508,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-509,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-510,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-511,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-512,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-513,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-514,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-515,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-516,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-517,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-518,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-519,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-520,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-521,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-522,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-523,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-524,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-501,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-502,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-503,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-504,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-505,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-506,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-507,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-508,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-509,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-510,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-511,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-512,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-513,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-514,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-515,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-516,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-517,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-518,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-519,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-520,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-601,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-602,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-603,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-604,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-605,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-606,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-607,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-608,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-609,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-610,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-611,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-612,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-613,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-614,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-615,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-616,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-617,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-618,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-619,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-620,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-621,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-622,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-623,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-624,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-601,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-602,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-603,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-604,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-605,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-606,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-607,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-608,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-609,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-610,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-611,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-612,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-613,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-614,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-615,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-616,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-617,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-618,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-619,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-620,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-701,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-702,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-703,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-704,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-705,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-706,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-707,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-708,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-709,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-710,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-711,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-712,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-713,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-714,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-715,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-716,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-717,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-718,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-719,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-720,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-721,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-722,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-723,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU3-724,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-701,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-702,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-703,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-704,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-705,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-706,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-707,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-708,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-709,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-710,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-711,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-712,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-713,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-714,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-715,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-716,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-717,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-718,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-719,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-720,1,FCU,2.7,2.62,360,0.04,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
,,,,,,,,,,,,,,,,,,,,,,,
