検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,空調Ia基準値 [MJ/m2/年],空調Iｂ基準値 [MJ/m2/年],空調II基準値 [MJ/m2/年],空調III基準値 [MJ/m2/年],空調IVa基準値 [MJ/m2/年],空調IVb基準値 [MJ/m2/年],空調V基準値 [MJ/m2/年],空調VI基準値 [MJ/m2/年],給湯Ia基準値 [MJ/m2/年],給湯Iｂ基準値 [MJ/m2/年],給湯II基準値 [MJ/m2/年],給湯III基準値 [MJ/m2/年],給湯IVa基準値 [MJ/m2/年],給湯IVb基準値 [MJ/m2/年],給湯V基準値 [MJ/m2/年],給湯VI基準値 [MJ/m2/年],照明基準値 [MJ/m2/年],換気基準値 [MJ/m2/年]
M-6,7,6,集会所等,体育館（バスケットボール公式）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,1187 ,0 
M-7,7,7,集会所等,体育館（アイスホッケー一般）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,890 ,0 
M-8,7,8,集会所等,体育館（バスケットボール一般）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,593 ,0 
M-9,7,9,集会所等,体育館（アイスホッケーレク）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,358 ,0 
M-10,7,10,集会所等,体育館（バスケットボールレク）,100,100,100,100,100,100,100,100,369 ,369 ,369 ,369 ,369 ,369 ,369 ,369 ,236 ,0 
M-11,7,11,集会所等,体育館（応援席）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 
M-12,7,12,集会所等,体育館（ロビー）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179 ,0 
M-13,7,13,集会所等,体育館（トイレ）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,199 ,20 
M-14,7,14,集会所等,体育館（喫煙室）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,199 ,61 
M-15,7,15,集会所等,温浴施設(浴室）,100,100,100,100,100,100,100,100,3754 ,3754 ,3754 ,3754 ,3754 ,3754 ,3754 ,3754 ,344 ,13 
M-16,7,16,集会所等,温浴施設(脱衣室）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,244 ,13 
M-17,7,17,集会所等,温浴施設（受付）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,549 ,13 
M-18,7,18,集会所等,温浴施設（休憩室）,100,100,100,100,100,100,100,100,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,199 ,13 
M-19,7,19,集会所等,映画館（観客席）,100,100,100,100,100,100,100,100,238 ,238 ,238 ,238 ,238 ,238 ,238 ,238 ,0 ,0 
M-20,7,20,集会所等,映画館（ロビー）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,235 ,0 
M-21,1,21,事務所等,図書館,100,100,100,100,100,100,100,100,40 ,40 ,40 ,40 ,40 ,40 ,40 ,40 ,330 ,0 
M-22,1,22,事務所等,博物館,100,100,100,100,100,100,100,100,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,53 ,0 
M-23,7,23,集会所等,楽屋,100,100,100,100,100,100,100,100,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,179 ,0 
M-24,7,24,集会所等,劇場,100,100,100,100,100,100,100,100,164 ,164 ,164 ,164 ,164 ,164 ,164 ,164 ,161 ,0 
M-25,7,25,集会所等,劇場（観客席）,100,100,100,100,100,100,100,100,164 ,164 ,164 ,164 ,164 ,164 ,164 ,164 ,176 ,0 
M-26,7,26,集会所等,劇場（ロビー）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,95 ,0 
M-27,7,27,集会所等,劇場（トイレ）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,11 
M-28,7,28,集会所等,劇場（喫煙室）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,33 
M-29,7,29,集会所等,インターネットカフェ,100,100,100,100,100,100,100,100,95 ,95 ,95 ,95 ,95 ,95 ,95 ,95 ,684 ,0 
M-30,7,30,集会所等,カラオケ,100,100,100,100,100,100,100,100,95 ,95 ,95 ,95 ,95 ,95 ,95 ,95 ,484 ,0 
M-31,7,31,集会所等,ボーリング,100,100,100,100,100,100,100,100,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,598 ,0 
M-32,7,32,集会所等,パチンコ,100,100,100,100,100,100,100,100,119 ,119 ,119 ,119 ,119 ,119 ,119 ,119 ,1019 ,0 
M-33,7,33,集会所等,競馬競輪場,100,100,100,100,100,100,100,100,90 ,90 ,90 ,90 ,90 ,90 ,90 ,90 ,216 ,0 
M-34,7,34,集会所等,競馬競輪場（ロビー）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86 ,0 
M-35,7,35,集会所等,券売場,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,216 ,0 
M-36,7,36,集会所等,売店,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,129 ,0 
M-37,7,37,集会所等,競輪競馬場（トイレ）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,96 ,10 
M-38,7,38,集会所等,競輪競馬場（喫煙室）,100,100,100,100,100,100,100,100,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,96 ,30 
M-39,7,39,集会所等,社寺本殿,100,100,100,100,100,100,100,100,164 ,164 ,164 ,164 ,164 ,164 ,164 ,164 ,196 ,0 
M-40,7,40,集会所等,厨房,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,429 ,588 
M-41,7,41,集会所等,屋内駐車場,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,70 ,258 
M-42,7,42,集会所等,電気・機械室（標準）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,43 
M-43,7,43,集会所等,電気・機械室（高発熱）,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,86 
M-44,7,44,集会所等,湯沸室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47 ,10 
M-45,7,45,集会所等,食品庫等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47 ,20 
M-46,7,46,集会所等,コピー室等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47 ,20 
M-47,7,47,集会所等,厨芥置き場等,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47 ,59 
