様式 3-3. (換気)換気代替空調機入力シート,,,,
,,,,
,,,,
①,②,③,④,⑤
,,,,
機器名称,必要冷却能力,熱源効率,送風機消費電力,ポンプ消費電力
,,（一次換算値）,,
,[kW],[-],[kW],[kW]
,,,,
,,,,
PAC-B-1,16.9,1.05,0.28,
PAC-B-2,16.9,1.05,0.28,
,,,,
