様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
3F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
3F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
3F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
3F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
3F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
3F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
3F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
3F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
3F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
4F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
4F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
4F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
4F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
4F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
4F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
4F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
4F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
4F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
4F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
4F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
4F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
4F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
4F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
4F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
4F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
4F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
4F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
4F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
4F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
4F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
5F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
5F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
5F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
5F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
5F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
5F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
5F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
5F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
5F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
5F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
5F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
5F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
5F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
5F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
5F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
5F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
5F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
5F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
5F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
5F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
5F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
6F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
6F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
6F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
6F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
6F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
6F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
6F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
6F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
6F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
6F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
6F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
6F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
6F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
6F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
6F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
6F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
6F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
6F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
6F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
6F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
6F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
7F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
7F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
7F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
7F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
7F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
7F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
7F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
7F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
7F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
7F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
7F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
7F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
7F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
7F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
7F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
7F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
7F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
7F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
7F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
7F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
7F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
8F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
8F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
8F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
8F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
8F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
8F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
8F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
8F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
8F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
8F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
8F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
8F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
8F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
8F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
8F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
8F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
8F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
8F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
8F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
8F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
8F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
9F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
9F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
9F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
9F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
9F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
9F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
9F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
9F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
9F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
9F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
9F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
9F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
9F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
9F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
9F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
9F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
9F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
9F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
9F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
9F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
9F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
10F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
10F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
10F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
10F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
10F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
10F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
10F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
10F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
10F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
10F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
10F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
10F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
10F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
10F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
10F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
10F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
10F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
10F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
10F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
10F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
10F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
11F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
11F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
11F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
11F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
11F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
11F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
11F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
11F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
11F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
11F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
11F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
11F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
11F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
11F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
11F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
11F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
11F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
11F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
11F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
11F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
11F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
PHF,EV機械室,事務所等,機械室,71.82,3.8,3.8,,■,■,,
PHF,非常用EV機械室,事務所等,機械室,21.94,3.8,3.8,,■,■,,
PHF,A階段,事務所等,廊下,23.78,3.8,3.8,,,■,,
,,,,,,,,,,,
