様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
7F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
7F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-04
8F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-05
8F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-05
8F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-05
8F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-05
8F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
8F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
8F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-05
9F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-06
9F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-06
9F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-06
9F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-06
9F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
9F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
9F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-06
10F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-07
10F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-07
10F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-07
10F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-07
10F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
10F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
10F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-07
11F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-08
11F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-08
11F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-08
11F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-08
11F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
11F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
11F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-08
12F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-09
12F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-09
12F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-09
12F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-09
12F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
12F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
12F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-09
13F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-10
13F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-10
13F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-10
13F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-10
13F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
13F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室12S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,客室13S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
13F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-10
14F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
14F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
14F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
14F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
14F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-11
14F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-11
14F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-11
14F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-11
14F,客室スイート1_洗面所,ホテル等,洗面室,4.8188972,排気,EF-04
14F,客室スイート1_トイレ,ホテル等,洗面室,2.2019712,排気,EF-04
14F,客室スイート1_トイレ,ホテル等,洗面室,2.2019712,排気,EF-04
14F,客室スイート1_バスルーム,ホテル等,洗面室,4.4701475,排気,EF-04
14F,客室スイート2_洗面所,ホテル等,洗面室,4.8188972,排気,EF-04
14F,客室スイート2_トイレ,ホテル等,洗面室,2.2019712,排気,EF-04
14F,客室スイート2_トイレ,ホテル等,洗面室,2.2019712,排気,EF-04
14F,客室スイート2_バスルーム,ホテル等,洗面室,4.4701475,排気,EF-04
14F,リネン室,ホテル等,食品庫等,8.226114,排気,EF-05-11
,,,,,,
