様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
2F,EPS,ホテル等,機械室,4.128696,4.2,2.7,,,,,
2F,非常用EV乗降ロビー,ホテル等,客室部ロビー,14.38788,4.2,2.7,,,,■,
2F,廊下C,ホテル等,客室部廊下,10.9473,4.2,2.7,,,,■,
2F,廊下D,ホテル等,客室部廊下,12.208846,4.2,2.7,,,,■,
2F,PS,ホテル等,機械室,2.981836,4.2,2.7,,,,,
2F,アラーム弁室,ホテル等,機械室,1.626456,4.2,2.7,,,,,
2F,トイレ,ホテル等,客室部便所,5.7343,4.2,2.7,,,,■,
2F,倉庫,ホテル等,更衣室,9.612772,4.2,2.7,,,,■,
2F,外調機置き場,ホテル等,機械室,4.6917,4.2,2.7,,,,,
3F,ロビー・ホワイエ,ホテル等,客室部ロビー,67.581332,4.15,2.65,■,,■,■,
3F,クローク,ホテル等,客室部ロビー,6.954142,4.15,2.65,■,,,■,
3F,ミーティングルームA,事務所等,会議室,124.0694,4.15,2.65,■,,■,■,
3F,ミーティングルームB,事務所等,会議室,38.127882,4.15,2.65,■,,■,■,
3F,廊下A,ホテル等,廊下,29.7141,4.15,2.65,■,,,■,
3F,A避難階段,ホテル等,客室部廊下,41.96465,4.15,2.65,,,,■,
3F,廊下B,ホテル等,客室部廊下,23.635742,4.15,2.65,,,,■,
3F,事務室A,ホテル等,事務室,15.22196,4.15,2.65,■,,,■,
3F,事務室B,ホテル等,客室部事務室,24.490674,4.15,2.65,■,,,■,
3F,倉庫,ホテル等,更衣室,14.70066,4.15,2.65,,,,■,
3F,従業員休憩室,ホテル等,客室部事務室,22.895496,4.15,2.65,■,,,■,
3F,男性用トイレ,ホテル等,客室部便所,17.296734,4.15,2.65,,,,■,
3F,女性用トイレ,ホテル等,客室部便所,9.862996,4.15,2.65,,,,■,
3F,DS,ホテル等,機械室,7.97589,4.15,2.65,,,,,
3F,PS,ホテル等,機械室,5.16087,4.15,2.65,,,,,
3F,仮眠室,ホテル等,客室部事務室,7.50672,4.15,2.65,■,,■,■,
3F,DS,ホテル等,機械室,2.18946,4.15,2.65,,,,,
3F,シャワー室,ホテル等,洗面室,2.001792,4.15,2.65,,,■,■,
3F,PS,ホテル等,機械室,1.417936,4.15,2.65,,,,,
3F,CH,ホテル等,機械室,2.022644,4.15,2.65,,,,,
3F,PS,ホテル等,機械室,2.0852,4.15,2.65,,,,,
3F,EPS,ホテル等,機械室,4.128696,4.15,2.65,,,,,
3F,非常用EV乗降ロビー,ホテル等,客室部ロビー,12.750998,4.15,2.65,,,,■,
3F,アラーム弁室,ホテル等,機械室,1.761994,4.15,2.65,,,,,
3F,PS,ホテル等,機械室,3.17993,4.15,2.65,,,,,
3F,廊下C,ホテル等,客室部廊下,9.404252,4.15,2.65,,,,■,
3F,パントリー,ホテル等,更衣室,24.219598,4.15,2.65,■,,,■,
3F,廊下D,ホテル等,客室部廊下,6.651788,4.15,2.65,,,,■,
3F,男子ロッカー室,ホテル等,更衣室,21.018816,4.15,2.65,■,,,■,
3F,女子ロッカー室,ホテル等,更衣室,11.093264,4.15,2.65,■,,,■,
3F,メイド員・控室・休憩室,ホテル等,客室部事務室,29.1928,4.15,2.65,■,,,■,
3F,トイレ,ホテル等,客室部便所,8.75784,4.15,2.65,,,,■,
3F,空調機械室,ホテル等,機械室,15.53474,4.15,2.65,,,,,
3F,廊下E,ホテル等,客室部廊下,7.736092,4.15,2.65,,,,■,
4F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,■,,■,■,
4F,客室1S_UB,ホテル等,洗面室,3.95291364,2.95,2.4,,■,■,■,
4F,PS,ホテル等,機械室,2.846298,2.95,2.4,,,,,
4F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,■,,■,■,
4F,客室2S_UB,ホテル等,洗面室,3.95291364,2.95,2.4,,■,■,■,
4F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,■,,■,■,
4F,客室3S_UB,ホテル等,洗面室,3.95291364,2.95,2.4,,■,■,■,
4F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,■,,■,■,
4F,客室4S_UB,ホテル等,洗面室,3.95291364,2.95,2.4,,■,■,■,
4F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,■,,■,■,
4F,客室5S_UB,ホテル等,洗面室,3.95291364,2.95,2.4,,■,■,■,
