様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
6F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室1S,FCU4,AHU2,
6F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室2S,FCU4,AHU2,
6F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室3S,FCU4,AHU2,
6F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室4S,FCU4,AHU2,
6F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室5S,FCU4,AHU2,
6F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室6S,FCU4,AHU2,
6F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室7S,FCU4,AHU2,
6F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室8S,FCU4,AHU2,
6F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,6F,客室9TW,FCU4,AHU2,
6F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室10S,FCU4,AHU2,
6F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室11S,FCU4,AHU2,
6F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室12S,FCU4,AHU2,
6F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,6F,客室13S,FCU4,AHU2,
6F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,6F,EVホール,FCU5,AHU2,
7F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室1S,FCU4,AHU2,
7F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室2S,FCU4,AHU2,
7F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室3S,FCU4,AHU2,
7F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室4S,FCU4,AHU2,
7F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室5S,FCU4,AHU2,
7F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室6S,FCU4,AHU2,
7F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室7S,FCU4,AHU2,
7F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室8S,FCU4,AHU2,
7F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,7F,客室9TW,FCU4,AHU2,
7F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室10S,FCU4,AHU2,
7F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室11S,FCU4,AHU2,
7F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室12S,FCU4,AHU2,
7F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,7F,客室13S,FCU4,AHU2,
7F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,7F,EVホール,FCU5,AHU2,
8F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室1S,FCU4,AHU2,
8F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室2S,FCU4,AHU2,
8F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室3S,FCU4,AHU2,
8F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室4S,FCU4,AHU2,
8F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室5S,FCU4,AHU2,
8F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室6S,FCU4,AHU2,
8F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室7S,FCU4,AHU2,
8F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室8S,FCU4,AHU2,
8F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,8F,客室9TW,FCU4,AHU2,
8F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室10S,FCU4,AHU2,
8F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室11S,FCU4,AHU2,
8F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室12S,FCU4,AHU2,
8F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,8F,客室13S,FCU4,AHU2,
8F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,8F,EVホール,FCU5,AHU2,
9F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室1S,FCU4,AHU2,
9F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室2S,FCU4,AHU2,
9F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室3S,FCU4,AHU2,
9F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室4S,FCU4,AHU2,
9F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室5S,FCU4,AHU2,
9F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室6S,FCU4,AHU2,
9F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室7S,FCU4,AHU2,
9F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室8S,FCU4,AHU2,
9F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,9F,客室9TW,FCU4,AHU2,
9F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室10S,FCU4,AHU2,
9F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室11S,FCU4,AHU2,
9F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室12S,FCU4,AHU2,
9F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,9F,客室13S,FCU4,AHU2,
9F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,9F,EVホール,FCU5,AHU2,
10F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室1S,FCU4,AHU2,
10F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室2S,FCU4,AHU2,
10F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室3S,FCU4,AHU2,
10F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室4S,FCU4,AHU2,
10F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室5S,FCU4,AHU2,
10F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室6S,FCU4,AHU2,
10F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室7S,FCU4,AHU2,
10F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室8S,FCU4,AHU2,
10F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,10F,客室9TW,FCU4,AHU2,
10F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室10S,FCU4,AHU2,
10F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室11S,FCU4,AHU2,
10F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室12S,FCU4,AHU2,
10F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,10F,客室13S,FCU4,AHU2,
10F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,10F,EVホール,FCU5,AHU2,
11F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室1S,FCU4,AHU2,
11F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室2S,FCU4,AHU2,
11F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室3S,FCU4,AHU2,
11F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室4S,FCU4,AHU2,
11F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室5S,FCU4,AHU2,
11F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室6S,FCU4,AHU2,
11F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室7S,FCU4,AHU2,
11F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室8S,FCU4,AHU2,
11F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,11F,客室9TW,FCU4,AHU2,
11F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室10S,FCU4,AHU2,
11F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室11S,FCU4,AHU2,
11F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室12S,FCU4,AHU2,
11F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,11F,客室13S,FCU4,AHU2,
11F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,11F,EVホール,FCU5,AHU2,
12F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室1S,FCU4,AHU2,
12F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室2S,FCU4,AHU2,
12F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室3S,FCU4,AHU2,
12F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室4S,FCU4,AHU2,
12F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室5S,FCU4,AHU2,
12F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室6S,FCU4,AHU2,
12F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室7S,FCU4,AHU2,
12F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室8S,FCU4,AHU2,
12F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,12F,客室9TW,FCU4,AHU2,
12F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室10S,FCU4,AHU2,
12F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室11S,FCU4,AHU2,
12F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室12S,FCU4,AHU2,
12F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,12F,客室13S,FCU4,AHU2,
12F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,12F,EVホール,FCU5,AHU2,
13F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室1S,FCU4,AHU2,
13F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室2S,FCU4,AHU2,
13F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室3S,FCU4,AHU2,
13F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室4S,FCU4,AHU2,
13F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室5S,FCU4,AHU2,
13F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室6S,FCU4,AHU2,
13F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室7S,FCU4,AHU2,
13F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室8S,FCU4,AHU2,
13F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,13F,客室9TW,FCU4,AHU2,
13F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室10S,FCU4,AHU2,
13F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室11S,FCU4,AHU2,
13F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室12S,FCU4,AHU2,
13F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,13F,客室13S,FCU4,AHU2,
13F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,13F,EVホール,FCU5,AHU2,
14F,客室1S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室1S,FCU4,AHU2,
14F,客室2S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室2S,FCU4,AHU2,
14F,客室3S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室3S,FCU4,AHU2,
14F,客室4S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室4S,FCU4,AHU2,
14F,客室5S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室5S,FCU4,AHU2,
14F,客室6S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室6S,FCU3,AHU2,
14F,客室7S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室7S,FCU3,AHU2,
14F,客室8S,ホテル等,客室,16.6690888,2.85,2.4,14F,客室8S,FCU3,AHU2,
14F,客室スイート1,ホテル等,客室,47.7583782,2.85,2.4,14F,客室スイート1,FCU33,AHU2,
14F,客室スイート2,ホテル等,客室,47.7583782,2.85,2.4,14F,客室スイート2,FCU33,AHU2,
14F,EVホール,ホテル等,ロビー（終日）,22.249084,2.85,2.4,14F,EVホール,FCU5,AHU2,
,,,,,,,,,,,
