B1F,階段室S,Office,廊下,5.5,3.2,7,22.4,0.39929,0.5,階段通路誘導灯,K1-FBF15-321,48,2,4.2857,8, , , , ,　,　,1,3133,1467.7478,2935.4957,5479.5919,0.26786
1F,1F事務室I-N,Office,事務室,2.6,22.05,15.4,323.9,3.4874,1,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,96,27.8605,16.3, , ,有,昼両VB有,　,　,0.6375,3133,175909.5786,175909.5786,161439.1138,1.1577
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,12,1.7413,, , ,有,昼両VB有,　,　,0.6375,,10994.3487,10994.3487,,
1F,1F事務室I-S,Office,事務室,2.6,14.85,15.4,204,2.9077,1,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,62,28.5686,16.3, , ,有,昼両VB有,　,　,0.6375,3133,113608.2695,113608.2695,101678.2316,1.1804
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,7,1.6127,, , ,有,昼両VB有,　,　,0.6375,,6413.3701,6413.3701,,
1F,1F事務室P-N,Office,事務室,2.6,0,0,48.1,0.8,0.6,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,12,11.7256,16.3, , ,有,昼両VB有,　,　,0.6375,3133,6596.6092,10994.3487,23974.1321,0.27516
1F,1F事務室P-S,Office,事務室,2.6,0,0,29.2,0.7,0.5,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,8,12.8767,16.3, , ,有,昼両VB有,　,　,0.6375,3133,3664.7829,7329.5658,14553.943,0.25181
1F,警備員室,Office,事務室,2.6,5.4,3.3,17.8,0.7878,0.6,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,2,10.5618,16.3, , , , ,　,　,1,3133,3449.2074,5748.679,8871.9241,0.48597
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,1,2.6404,, , , , ,　,　,1,,862.3019,1437.1698,,
1F,エントランスホール,Office,ロビー,6.4,22.4,9,201.6,1.0032,0.7,ダウンライト,FRS23-H422,95,60,28.2738,17.9, ,点滅, , ,　,　,0.9,3133,109805.8853,156865.5504,110345.2826,0.99511
1F,1FEVホール,Office,廊下,2.4,11,3.4,37.4,1.0822,0.7,ダウンライト,FRS23-H421,48,12,15.4011,8, ,点滅, , ,　,　,0.9,3133,11096.1737,15851.6767,9148.9615,1.2128
1F,廊下,Office,廊下,2.4,0,0,88.6,0.7,0.5,ダウンライト,FRS23-H421,48,25,13.544,8, ,点滅, , ,　,　,0.9,3133,16512.1632,33024.3264,21673.7431,0.76185
1F,階段室Ｎ,Office,廊下,4,3.2,7,22.4,0.54902,0.5,階段通路誘導灯,K1-FBF15-321,48,2,4.2857,8, , , , ,　,　,1,3133,1467.7478,2935.4957,5479.5919,0.26786
1F,乗降ロビー,Office,廊下,2.4,2.6,4.3,11.2,0.67512,0.5,階段通路誘導灯,K1-FBF15-321,48,1,4.2857,8, , , , ,　,　,1,3133,733.8739,1467.7478,2739.796,0.26786
1F,DS1,Office,機械室,4,3.6,1,3.6,0.19565,0.5,直付富士型,FSS9-161,22,1,6.1111,4.9, , , , ,　,　,1,200,21.472,42.944,34.4333,0.62358
1F,DS2,Office,機械室,4,1.8,1,1.8,0.16071,0.5,直付富士型,FSS9-161,22,1,12.2222,4.9, , , , ,　,　,1,200,21.472,42.944,17.2166,1.2472
1F,機械室1,Office,機械室,4,3.2,7,22.4,0.54902,0.5,直付富士型,FSS9-321,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
1F,PS1,Office,機械室,4,2.8,1.2,3.4,0.21,0.5,直付富士型,FSS9-161,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
