4F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-4F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
4F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-4F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
5F,男子便所,Office,便所,16.2,送風機,FE-WC1-5F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
5F,女子便所,Office,便所,16.2,送風機,FE-WC2-5F,Exist,680,0.1,,,,,6.1728,13.5, , , ,1,3133,3269.7353,6687.4261,0.48894
5F,多目的便所,Office,便所,4,送風機,FE-WC2-5F,Exist,680,0.1,,,,,25,13.5, , , ,1,3133,807.342,1651.2163,0.48894
5F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-5F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
5F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-5F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
6F,男子便所,Office,便所,16.2,送風機,FE-WC1-6F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
6F,女子便所,Office,便所,16.2,送風機,FE-WC2-6F,Exist,680,0.1,,,,,6.1728,13.5, , , ,1,3133,3269.7353,6687.4261,0.48894
6F,多目的便所,Office,便所,4,送風機,FE-WC2-6F,Exist,680,0.1,,,,,25,13.5, , , ,1,3133,807.342,1651.2163,0.48894
6F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-6F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
6F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-6F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
7F,男子便所,Office,便所,16.2,送風機,FE-WC1-7F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
7F,女子便所,Office,便所,16.2,送風機,FE-WC2-7F,Exist,680,0.1,,,,,6.1728,13.5, , , ,1,3133,3269.7353,6687.4261,0.48894
7F,多目的便所,Office,便所,4,送風機,FE-WC2-7F,Exist,680,0.1,,,,,25,13.5, , , ,1,3133,807.342,1651.2163,0.48894
7F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-7F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
7F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-7F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
8F,男子便所,Office,便所,16.2,送風機,FE-WC1-8F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
8F,女子便所,Office,便所,16.2,送風機,FE-WC2-8F,Exist,680,0.1,,,,,6.1728,13.5, , , ,1,3133,3269.7353,6687.4261,0.48894
8F,多目的便所,Office,便所,4,送風機,FE-WC2-8F,Exist,680,0.1,,,,,25,13.5, , , ,1,3133,807.342,1651.2163,0.48894
8F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-8F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
8F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-8F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
9F,厨房,Office,厨房,102.6,送風機,OAC-KT-9F,Supply,11400,11,,,,,107.2125,180,有, , ,0.95,2000,271978.6667,360495.36,1.0241
,,,,,送風機,ACP-KT-9F,Circulation,2280,0.22,,,,,2.1442,, , , ,1,,5725.8667,,
,,,,,送風機,FE-KT-9F,Exist,11400,3.7,,,,,36.0624,,有, , ,0.95,,91483.7333,,
9F,男子便所,Office,便所,16.2,送風機,FE-WC1-9F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
9F,女子便所,Office,便所,16.2,送風機,FE-WC2-9F,Exist,680,0.1,,,,,6.1728,13.5, , , ,1,3133,3269.7353,6687.4261,0.48894
9F,多目的便所,Office,便所,4,送風機,FE-WC2-9F,Exist,680,0.1,,,,,25,13.5, , , ,1,3133,807.342,1651.2163,0.48894
9F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-9F,Exist,60,0.05,,,,,7.1429,4.5, , , ,1,2000,1301.3333,614.88,2.1164
9F,倉庫,Office,湯沸室等,6.6,送風機,FE-ST-9F,Exist,60,0.05,,,,,7.5758,4.5, , , ,1,2000,1301.3333,579.744,2.2447
PHF,EV機械室,Office,電気室,48,送風機,FS-EV1-RF,Supply,6200,1.5,,,,,31.25,18,有, ,温度制御,0.665,8760,113711.808,73869.9264,1.9715
,,,,,送風機,FE-EV1-RF,Exist,6200,0.4,,,,,8.3333,, , ,温度制御,0.7,,31919.104,,
PHF,非常用EV機械室,Office,電気室,28.8,送風機,FS-EV2-RF,Supply,2100,1.5,,,,,52.0833,18,有, ,温度制御,0.665,8760,113711.808,44321.9558,3.2858
,,,,,送風機,FE-EV2-RF,Exist,2100,0.4,,,,,13.8889,, , ,温度制御,0.7,,31919.104,,
